"site" "plot" "n_m.day" "n_f.day" "n_vege" "past.w_snow_day" "gdd" "ht.95"
"1" "arb" 1 187.666666666667 313.666666666667 123.6 239.333333333333 1093.6441 15.26784
"2" "arb" 2 234 304.333333333333 64 295 399.595 10.2984
"3" "arb" 3 239.5 307.666666666667 70 297.166666666667 546.3759 12.222005
"4" "cat" 1 179.5 295 113.2 249.833333333333 1132.7819 16.860925
"5" "cat" 2 183.833333333333 292.833333333333 109.2 256.333333333333 1008.0269 15.20422
"6" "cat" 3 200.8 281.2 81.3333333333333 285 646.827166666667 12.3469166666667
"7" "cre" 2 177.4 318.6 145.25 224 1326.63325 16.76453125
"8" "cre" 3 184.2 313 132.5 236.4 1275.495125 17.1679875
"9" "pdlc" 1 179.4 281.25 63 257.75 552.90275 22.588725
"10" "pdlc" 2 186.428571428571 303.6 114.2 242.4 1262.4903 18.605655
"11" "pdlc" 3 173.857142857143 306.166666666667 130.4 228.166666666667 1173.2082 17.5573
"12" "pla" 1 186.857142857143 313.333333333333 123.4 236.166666666667 1268.3998 17.973395
"13" "pla" 2 190.571428571429 304.666666666667 109.2 246.666666666667 1060.4411 16.925185
"14" "pla" 3 184.857142857143 313.166666666667 125.4 231.5 1495.7315 19.90163
"15" "rat" 1 174.714285714286 304.333333333333 130 235.833333333333 1283.636 17.501005
"16" "rat" 2 181.6 302.5 122.333333333333 244.75 1262.23883333333 17.1935666666667
"17" "rat" 3 192.571428571429 303.5 111.4 254.833333333333 1177.3838 16.56132
"18" "ull" 1 160.571428571429 317.5 160.8 208.833333333333 1694.9342 17.56166
"19" "ull" 2 177.428571428571 307.166666666667 132.2 235.833333333333 1478.1395 18.09748
"20" "ull" 3 179.142857142857 303.333333333333 125.8 241.5 1361.9242 17.47583
