site,year,plot,m.day,f.day,first.day,n_m.day,n_f.day,n_vege,prev_f.day,past.w_snow_day,gdd,ht.95,max.t
arb,2012,Early,NA,2012-11-23,2012-01-01,NA,327,NA,NA,NA,NA,NA,NA
arb,2012,Intermediate,NA,2012-10-24,2012-01-01,NA,297,NA,NA,NA,NA,NA,NA
arb,2012,Late,NA,2012-10-24,2012-01-01,NA,297,NA,NA,NA,NA,NA,NA
arb,2013,Early,2013-07-27,2013-11-09,2013-01-01,207,312,105,2012-11-23,246,830.036,14.3075,21.129
arb,2013,Intermediate,2013-09-04,2013-11-07,2013-01-01,246,310,64,2012-10-24,315,399.59499999999997,10.298399999999999,15.112
arb,2013,Late,2013-10-25,2013-11-03,2013-01-01,297,306,9,2012-10-24,366,21.858999999999998,5.380024999999998,7.592
arb,2014,Early,2014-07-23,2014-11-02,2014-01-01,203,305,102,2013-11-09,256,853.6555,13.309499999999996,19.098
arb,2014,Intermediate,2014-08-25,NA,2014-01-01,236,NA,NA,2013-11-07,291,NA,NA,NA
arb,2014,Late,2014-09-24,2014-11-02,2014-01-01,266,305,39,2013-11-03,325,210.9145,8.106575,12.618
arb,2015,Early,2015-06-29,2015-11-21,2015-01-01,179,324,145,2014-11-02,239,1241.4435,16.366875,24.631
arb,2015,Late,2015-08-10,2015-11-21,2015-01-01,221,324,103,2014-11-02,281,648.2145,13.041349999999998,20.129
arb,2016,Early,2016-06-26,2016-11-04,2016-01-01,177,308,131,2015-11-21,218,1234.7485,15.700949999999997,25.602
arb,2016,Late,2016-08-06,2016-11-04,2016-01-01,218,308,90,2015-11-21,259,751.7105,16.426000000000002,25.693
arb,2017,Early,2017-06-21,2017-11-03,2017-01-01,171,306,135,2016-11-04,229,1308.337,16.654374999999998,27.101
arb,2017,Intermediate,NA,2017-11-03,2017-01-01,NA,306,NA,NA,NA,NA,NA,NA
arb,2017,Late,2017-07-17,2017-11-03,2017-01-01,197,306,109,2016-11-04,255,1099.181,18.156075,28.692
arb,2018,Early,2018-07-09,NA,2018-01-01,189,NA,NA,2017-11-03,248,NA,NA,NA
arb,2018,Intermediate,2018-08-09,NA,2018-01-01,220,NA,NA,2017-11-03,279,NA,NA,NA
arb,2018,Late,2018-08-27,NA,2018-01-01,238,NA,NA,2017-11-03,297,NA,NA,NA
cat,2012,Early,NA,2012-11-08,2012-01-01,NA,312,NA,NA,NA,NA,NA,NA
cat,2012,Intermediate,NA,2012-10-22,2012-01-01,NA,295,NA,NA,NA,NA,NA,NA
cat,2012,Late,NA,2012-09-26,2012-01-01,NA,269,NA,NA,NA,NA,NA,NA
cat,2013,Early,2013-07-16,2013-10-02,2013-01-01,196,274,78,2012-11-08,250,816.8985,16.22315,23.615
cat,2013,Intermediate,2013-07-29,2013-10-02,2013-01-01,209,274,65,2012-10-22,280,595.542,13.053,23.623
cat,2013,Late,2013-08-11,2013-10-29,2013-01-01,222,301,79,2012-09-26,319,398.5865,7.5899,12.611
cat,2014,Early,2014-07-04,2014-10-31,2014-01-01,184,303,119,2013-10-02,275,967.537,12.867025000000002,17.641
cat,2014,Intermediate,2014-07-04,2014-10-25,2014-01-01,184,297,113,2013-10-02,275,978.4225,13.194499999999998,18.618
cat,2014,Late,2014-07-25,NA,2014-01-01,205,NA,NA,2013-10-29,269,NA,NA,NA
cat,2015,Early,2015-06-20,2015-10-29,2015-01-01,170,301,131,2014-10-31,232,1404.006,21.751824999999997,31.643
cat,2015,Intermediate,2015-06-29,2015-10-29,2015-01-01,179,301,122,2014-10-25,247,1111.537,17.571899999999996,22.13
cat,2015,Late,NA,2015-10-22,2015-01-01,NA,294,NA,NA,NA,NA,NA,NA
cat,2016,Early,2016-06-27,2016-10-12,2016-01-01,178,285,107,2015-10-29,242,1157.3455,16.331,24.586
cat,2016,Intermediate,2016-06-27,2016-10-11,2016-01-01,178,284,106,2015-10-29,242,1145.216,16.0632,21.147
cat,2016,Late,2016-07-13,2016-10-12,2016-01-01,194,285,91,2015-10-22,265,793.835,13.7225,20.127
cat,2017,Early,2017-06-14,2017-10-23,2017-01-01,164,295,131,2016-10-12,245,1318.1224999999997,17.131625,23.086
cat,2017,Intermediate,2017-06-16,2017-11-03,2017-01-01,166,306,140,2016-10-11,248,1209.417,16.1385,20.646
cat,2017,Late,2017-07-03,2017-09-15,2017-01-01,183,257,74,2016-10-12,264,748.06,15.728349999999999,22.17
cat,2018,Early,2018-07-05,NA,2018-01-01,185,NA,NA,2017-10-23,255,NA,NA,NA
cat,2018,Intermediate,2018-07-07,NA,2018-01-01,187,NA,NA,2017-11-03,246,NA,NA,NA
cat,2018,Late,2018-07-20,NA,2018-01-01,200,NA,NA,2017-09-15,308,NA,NA,NA
cre,2013,Intermediate,NA,2013-11-09,2013-01-01,NA,312,NA,NA,NA,NA,NA,NA
cre,2013,Late,NA,2013-11-04,2013-01-01,NA,307,NA,NA,NA,NA,NA,NA
cre,2014,Early,2014-06-05,NA,2014-01-01,155,NA,NA,NA,NA,NA,NA,NA
cre,2014,Intermediate,2014-07-07,2014-11-02,2014-01-01,187,305,118,2013-11-09,240,1094.2065,14.205049999999998,25.197
cre,2014,Late,2014-07-14,2014-11-02,2014-01-01,194,305,111,2013-11-04,252,1156.7115,15.262949999999996,26.666
cre,2015,Intermediate,2015-06-20,2015-11-24,2015-01-01,170,327,157,2014-11-02,230,1432.297,17.980675000000005,29.695
cre,2015,Late,2015-06-27,2015-11-01,2015-01-01,177,304,127,2014-11-02,237,1347.585,19.4026,30.163
cre,2016,Early,NA,2016-11-04,2016-01-01,NA,308,NA,NA,NA,NA,NA,NA
cre,2016,Intermediate,2016-07-02,2016-11-04,2016-01-01,183,308,125,2015-11-24,221,1297.3515,17.047,27.697
cre,2016,Late,2016-07-07,2016-11-04,2016-01-01,188,308,120,2015-11-01,249,1255.3225,17.0775,27.665
cre,2017,Early,2017-05-03,NA,2017-01-01,122,NA,NA,2016-11-04,180,NA,NA,NA
cre,2017,Intermediate,2017-06-10,2017-12-08,2017-01-01,160,341,181,2016-11-04,218,1482.6779999999999,17.825399999999995,33.617
cre,2017,Late,2017-06-19,2017-12-08,2017-01-01,169,341,172,2016-11-04,227,1342.3615,16.9289,26.088
cre,2018,Early,2018-06-14,NA,2018-01-01,164,NA,NA,NA,NA,NA,NA,NA
cre,2018,Intermediate,2018-07-07,NA,2018-01-01,187,NA,NA,2017-12-08,211,NA,NA,NA
cre,2018,Late,2018-07-13,NA,2018-01-01,193,NA,NA,2017-12-08,217,NA,NA,NA
pdlc,2013,Early,2013-07-21,2013-07-25,2013-01-01,201,205,4,NA,NA,134.8455,31.819499999999998,36.611
pdlc,2013,Intermediate,2013-08-05,2013-11-04,2013-01-01,216,307,91,NA,NA,921.3515,17.168575,30.92
pdlc,2013,Late,2013-07-21,2013-11-14,2013-01-01,201,317,116,NA,NA,926.2715,15.034399999999998,35.113
pdlc,2014,Early,2014-07-01,2014-10-31,2014-01-01,181,303,122,2013-07-25,341,970.96,13.35795,21.624
pdlc,2014,Intermediate,2014-07-11,2014-11-02,2014-01-01,191,305,114,2013-11-04,249,1116.8935,15.92765,27.593
pdlc,2014,Late,2014-06-25,2014-10-31,2014-01-01,175,303,128,2013-11-14,223,1053.1835,12.905899999999997,20.621
pdlc,2015,Early,2015-06-18,NA,2015-01-01,168,NA,NA,2014-10-31,230,NA,NA,NA
pdlc,2015,Intermediate,2015-06-27,2015-10-31,2015-01-01,177,303,126,2014-11-02,237,1451.1245000000001,20.699849999999998,31.92
pdlc,2015,Late,2015-06-07,2015-10-30,2015-01-01,157,302,145,2014-10-31,219,1336.0695,17.1125,25.123
pdlc,2016,Intermediate,2016-06-26,NA,2016-01-01,177,NA,NA,2015-10-31,239,NA,NA,NA
pdlc,2016,Late,2016-06-12,NA,2016-01-01,163,NA,NA,2015-10-30,226,NA,NA,NA
pdlc,2017,Early,NA,2017-11-09,2017-01-01,NA,312,NA,NA,NA,NA,NA,NA
pdlc,2017,Late,NA,2017-11-03,2017-01-01,NA,306,NA,NA,NA,NA,NA,NA
pdlc,2018,Early,2018-06-27,NA,2018-01-01,177,NA,NA,2017-11-09,230,NA,NA,NA
pdlc,2018,Intermediate,2018-07-04,2018-10-26,2018-01-01,184,298,114,NA,NA,1311.883,19.1905,33.126
