code;combe;quad;placette;n.placette;date;proxi;year;Agrostis rupestris;Alchemilla flabellata;Anthyllis vulneraria;Armeria alpina (var. occasiana);Armeria muelleri;Avenula versicolor;Bartsia alpina;Campanula scheuchzeri subsp. lanceolata;Cardamine alpina;Cardamine resedifolia;Cardamine sp.;Carex curvula subsp. curvula;Carex parviflora;Carex pyrenaica;Epikeros pyrenaeus;Euphrasia minima;Festuca glacialis;Festuca paniculata subsp. paniculata;Festuca rubra subsp. commutata;Gentiana alpina;Gentiana nivalis;Gentiana schleicheri;Geum montanum;Gnaphalium supinum;Helictotrichon sedenense;Homogyne alpina;Jasione crispa;Juncus trifidus;Leucanthemopsis alpina subsp. alpina;Linaria alpina;Lotus alpinus;Luzula alpinopilosa subsp. candollei;Luzula lutea;Luzula nutans;Luzula spicata (subsp. mutabilis);Meum athamanticum;Mucizonia sedoides;Murbeckiella pinnatifida;Nardus stricta;Oreochloa elegans;Pedicularis pyrenaica;Persicaria vivipara;Phleum alpinum s. s. (à arrête non ciliée);Phyteuma hemisphaericum;Poa alpina;Poa cenisia;Polytrichum sp.;Primula integrifolia;Rhododendron ferrugineum;Sagina saginoides;Salix herbacea;Salix retusa;Saxifraga geranioides;Saxifraga moschata;Scorzoneroides pyrenaica;Sedum alpestre;Sempervivum montanum;Sibbaldia procumbens;Silene acaulis subsp. acaulis;Silene rupestris;Soldanella alpina;Taraxacum pyrenaicum;Trifolium alpinum;Trifolium thalii;Vaccinium myrtillus;Veronica alpina
PdlC-A1-20130807;PdlC;A1;1;3;20130807;pheno;2013;;;;;;;;;;;;;;;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;;;;fl;;;;fe;fe;;fe;fe;;;fl m et f;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A1-20130903;PdlC;A1;1;3;20130903;pheno;2013;;;;;;;;;;;;;;;;;;;fl;fe;;;fe;fe;;;;;;;;;;;;;;;;fl;;;;fe;fe;;fe;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A1-20140721;PdlC;A1;1;3;20140721;pheno;2014;;;;;;;;;;;;;;;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;;;;fe;;;;fe;fe;;fe;fe;;;fe;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A1-20140811;PdlC;A1;1;3;20140811;pheno;2014;;;;;;;fe;;;;;;;;;;;;fe;fe;;;fe;bt;;;;;;;;;;;;;;;;fl;;;;fe;bt;;fe;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A1-20140901;PdlC;A1;1;3;20140901;pheno;2014;;;;;;;;;fe;;;;;;;;;;fe;fe;;;fe;fr;;;;;;;;;;;;;;;;fr;;;;fe;fl;;fe;fe;;;fe;;;;fe;fe;;fr;;;;;fe;;;fe
PdlC-A1-20150701;PdlC;A1;1;3;20150701;pheno;2015;;;;;;;;;;;;;;;;;;;fe;fe;;;bt;fe;;;;;;;;;;;;;;;;bt;;;;fe;fe;;fe;fl;;;fe;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A1-20150720;PdlC;A1;1;3;20150720;pheno;2015;;;;;;;fe;;;;;;;;;;;;;fl;;;fr;fl;;;;;;;;;;;;;;;;fl;;;;bt;fl;;fe;fe;;;fr;;;;fe;fl;;fe;;;;;bt;;;fe
PdlC-A1-20150510;PdlC;A1;1;3;20150510;pheno;2015;;;;;;;;;fe;;;;;;;;;;;fr;;;fe;fr;;;;;;;;;;;;;;;;fr;;;;fe;fr;;fe;fe;;;fr;;;;fe;;;fe;;;;;fe;;;
PdlC-A1-20150831;PdlC;A1;1;3;20150831;pheno;2015;fl;;;;;;;;;;;;;;;;;;;di;;;fe;di;;;;;;;;;;;;;;;;se;;;;fe;di;;se;fe;;;di;;;;fe;;;se;;;;;fe;;;fe
PdlC-A1-20160705;PdlC;A1;1;3;20160705;pheno;2016;;;;;;;;;fe;;;;;fe;;;;;;bt;;;bt;fe;;;;;;;;;;;;;;;;fe;;;;;fe;;fe;fl;;;fe;;;;fe;fe;;fe;;;;;fe;;;
