code;nom.saisi;source;nom.ref.taxo;referentiel;commentaire;nom.short
1;Agrostis rupestris;cbnmed;;;;Agrostis rupestris
2;Alchemilla flabellata;cbnmed;;;;Alchemilla flabellata
3;Anthyllis vulneraria;cbnmed;;;;Anthyllis vulneraria
4;Armeria alpina (var. occasiana);cbnmed;;;;Armeria alpina
5;Armeria muelleri;cbnmed;;;;Armeria muelleri
6;Avenula versicolor;cbnmed;;;;Avenula versicolor
7;Bartsia alpina;cbnmed;;;;Bartsia alpina
8;Campanula scheuchzeri subsp. lanceolata;cbnmed;;;;Campanula scheuchzeri
9;Cardamine alpina;cbnmed;;;;Cardamine alpina
10;Cardamine resedifolia;cbnmed;;;;Cardamine resedifolia
11;Cardamine sp.;cbnmed;;;enleve sp;Carex curvula
12;Carex curvula subsp. curvula;cbnmed;;;une seule sous espece;Carex curvula
13;Carex parviflora;cbnmed;;;;Carex parviflora
14;Carex pyrenaica;cbnmed;;;;Carex pyrenaica
15;Epikeros pyrenaeus;cbnmed;;;;Epikeros pyrenaeus
16;Euphrasia minima;cbnmed;;;;Euphrasia minima
17;Festuca glacialis;cbnmed;;;;Festuca glacialis
18;Festuca paniculata subsp. paniculata;cbnmed;;;;Festuca paniculata
19;Festuca rubra subsp. commutata;cbnmed;;;;Festuca rubra
20;Gentiana alpina;cbnmed;;;;Gentiana alpina
21;Gentiana nivalis;cbnmed;;;;Gentiana nivalis
22;Gentiana schleicheri;cbnmed;;;;Gentiana schleicheri
23;Geum montanum;cbnmed;;;;Geum montanum
24;Gnaphalium supinum;cbnmed;;;;Gnaphalium supinum
25;Helictotrichon sedenense;cbnmed;;;;Helictotrichon sedenense
26;Homogyne alpina;cbnmed;;;;Homogyne alpina
27;Jasione crispa;cbnmed;;;;Jasione crispa
28;Juncus trifidus;cbnmed;;;;Juncus trifidus
29;Leucanthemopsis alpina subsp. alpina;cbnmed;;;;Leucanthemopsis alpina
30;Linaria alpina;cbnmed;;;;Linaria alpina
31;Lotus alpinus;cbnmed;;;;Lotus alpinus
32;Luzula alpinopilosa subsp. candollei;cbnmed;;;;Luzula alpinopilosa
33;Luzula lutea;cbnmed;;;;Luzula lutea
34;Luzula nutans;cbnmed;;;;Luzula nutans
35;Luzula spicata (subsp. mutabilis);cbnmed;;;;Luzula spicata
36;Meum athamanticum;cbnmed;;;;Meum athamanticum
37;Mucizonia sedoides;cbnmed;;;;Mucizonia sedoides
38;Murbeckiella pinnatifida;cbnmed;;;;Murbeckiella pinnatifida
39;Nardus stricta;cbnmed;;;;Nardus stricta
40;Oreochloa elegans;cbnmed;;;;Oreochloa elegans
41;Pedicularis pyrenaica;cbnmed;;;;Pedicularis pyrenaica
42;Persicaria vivipara;cbnmed;;;;Persicaria vivipara
43;Phleum alpinum s. s. (à arrête non ciliée);cbnmed;;;;Phleum alpinum
44;Phyteuma hemisphaericum;cbnmed;;;;Phyteuma hemisphaericum
45;Poa alpina;cbnmed;;;;Poa alpina
46;Poa cenisia;cbnmed;;;;Poa cenisia
47;Polytrichum sp.;cbnmed;;;;Polytrichum sp.
48;Primula integrifolia;cbnmed;;;;Primula integrifolia
49;Rhododendron ferrugineum;cbnmed;;;;Rhododendron ferrugineum
50;Sagina saginoides;cbnmed;;;;Sagina saginoides
51;Salix herbacea;cbnmed;;;;Salix herbacea
52;Salix retusa;cbnmed;;;;Salix retusa
53;Saxifraga geranioides;cbnmed;;;;Saxifraga geranioides
54;Saxifraga moschata;cbnmed;;;;Saxifraga moschata
55;Scorzoneroides pyrenaica;cbnmed;;;;Scorzoneroides pyrenaica
56;Sedum alpestre;cbnmed;;;;Sedum alpestre
57;Sempervivum montanum;cbnmed;;;;Sempervivum montanum
58;Sibbaldia procumbens;cbnmed;;;;Sibbaldia procumbens
59;Silene acaulis subsp. acaulis;cbnmed;;;;Silene acaulis subsp. acaulis
60;Silene rupestris;cbnmed;;;;Silene rupestris
61;Soldanella alpina;cbnmed;;;;Soldanella alpina
62;Taraxacum pyrenaicum;cbnmed;;;;Taraxacum pyrenaicum
63;Trifolium alpinum;cbnmed;;;;Trifolium alpinum
64;Trifolium thalii;cbnmed;;;;Trifolium thalii
65;Vaccinium myrtillus;cbnmed;;;;Vaccinium myrtillus
66;Veronica alpina;cbnmed;;;;Veronica alpina
67;Veronica alpina;test.ref;;;;Turlututu
