code;nom.saisi;source;nom.ref.taxo;referentiel;commentaire;nom.short
67;Agrostis_alpina;ub;;;;Agrostis_alpina
224;Agrostis_alpina;ref_thomas;;;;Agrostis_alpina
168;Agrostis_capillaris;cat;;;;Agrostis_capillaris
225;Agrostis_capillaris;ref_thomas;;;;Agrostis_capillaris
1;Agrostis rupestris;cbnmed;;;;Agrostis_rupestris
68;Agrostis_rupestris;ub;;;;Agrostis_rupestris
139;Agrostis_rupestris;arb;;;;Agrostis_rupestris
169;Agrostis_rupestris;cat;;;;Agrostis_rupestris
198;Agrostis_rupestris;por;;;;Agrostis_rupestris
226;Agrostis_rupestris;ref_thomas;;;;Agrostis_rupestris
227;Alchemilla_cataleunica;ref_thomas;;;;Alchemilla_cataleunica
69;Alchemilla_fissa;ub;;;;Alchemilla_fissa
228;Alchemilla_fissa;ref_thomas;;;;Alchemilla_fissa
2;Alchemilla flabellata;cbnmed;;;;Alchemilla_flabellata
229;Alchemilla_flabellata;ref_thomas;;;;Alchemilla_flabellata
70;Alchemilla_gr._alpina;ub;;;;Alchemilla_gr_alpina
230;Alchemilla_gr._alpina;ref_thomas;;;;Alchemilla_gr_alpina
71;Alopecurus_gerardii;ub;;;;Alopecurus_gerardii
140;Alopecurus_gerardii;arb;;;;Alopecurus_gerardii
231;Alopecurus_gerardii;ref_thomas;;;;Alopecurus_gerardii
72;Androsace_carnea;ub;;;;Andrasace_laggeri
141;Androsace_carnea;arb;;;;Andrasace_laggeri
170;Androsace_carnea;cat;;;;Andrasace_laggeri
232;Androsace_carnea;ref_thomas;;;;Andrasace_laggeri
127;Selinum_pyrenaeum;ub;;;;Epikeros_pyrenaeus
234;Selinum_pyrenaeum;ref_thomas;;;;Epikeros_pyrenaeus
3;Anthyllis vulneraria;cbnmed;;;;Anthyllis_vulneraria
235;Anthyllis_vulneraria;ref_thomas;;;;Anthyllis_vulneraria
73;Arenaria_biflora;ub;;;;Arenaria_biflora
236;Arenaria_biflora;ref_thomas;;;;Arenaria_biflora
74;Arenaria_grandiflora;ub;;;;Arenaria_grandiflora
