site;plot;year;date;time;temperature
Cataperdris;Early;2012;01/08/2012;02:00:01;14,198
Cataperdris;Early;2012;01/08/2012;05:00:01;13,697
Cataperdris;Early;2012;01/08/2012;08:00:01;12,694
Cataperdris;Early;2012;01/08/2012;11:00:01;17,704
Cataperdris;Early;2012;01/08/2012;14:00:01;21,207
Cataperdris;Early;2012;01/08/2012;17:00:01;21,207
Cataperdris;Early;2012;01/08/2012;20:00:01;19,206
Cataperdris;Early;2012;01/08/2012;23:00:01;16,702
Cataperdris;Early;2012;02/08/2012;02:00:01;14,699
Cataperdris;Early;2017;25/07/2017;10:55:01;11,939
Cataperdris;Early;2017;25/07/2017;13:55:01;14,944
Cataperdris;Early;2017;25/07/2017;16:55:01;14,944
Cataperdris;Early;2017;25/07/2017;19:55:01;13,442
Cataperdris;Early;2017;25/07/2017;22:55:01;10,937
Cataperdris;Early;2017;26/07/2017;01:55:01;9,434
Cataperdris;Early;2017;26/07/2017;04:55:01;7,93
Cataperdris;Early;2017;26/07/2017;07:55:01;7,42899999999999
Cataperdris;Early;2017;26/07/2017;11:00:01;10,937
Cataperdris;Early;2017;26/07/2017;14:00:01;14,443
Cataperdris;Early;2017;26/07/2017;17:00:01;16,946
Cataperdris;Early;2017;26/07/2017;20:00:01;14,443
Cataperdris;Early;2017;26/07/2017;23:00:01;11,939
Cataperdris;Early;2017;27/07/2017;02:00:01;10,937
Cataperdris;Early;2017;27/07/2017;05:00:01;9,935
Cataperdris;Early;2017;27/07/2017;08:00:01;9,935
Cataperdris;Early;2017;27/07/2017;11:00:01;17,446
Cataperdris;Early;2017;27/07/2017;14:00:01;19,447
Cataperdris;Early;2017;27/07/2017;17:00:01;20,947
Cataperdris;Early;2017;18/08/2017;20:00:01;16,946
Cataperdris;Early;2017;18/08/2017;23:00:01;14,944
Cataperdris;Early;2017;19/08/2017;02:00:01;13,942
Cataperdris;Early;2017;19/08/2017;05:00:01;12,44
Cataperdris;Early;2017;19/08/2017;08:00:01;11,438
Cataperdris;Early;2017;19/08/2017;11:00:01;14,443
Cataperdris;Early;2017;19/08/2017;14:00:01;15,444
Cataperdris;Early;2017;19/08/2017;17:00:01;16,946
Cataperdris;Early;2017;19/08/2017;20:00:01;15,945
Cataperdris;Early;2017;19/08/2017;23:00:01;13,942
Cataperdris;Early;2017;20/08/2017;02:00:01;12,44
Cataperdris;Early;2017;20/08/2017;05:00:01;10,937
Cataperdris;Early;2017;20/08/2017;08:00:01;9,434
Cataperdris;Early;2017;20/08/2017;11:00:01;15,444
Cataperdris;Early;2017;20/08/2017;14:00:01;17,446
Cataperdris;Early;2017;20/08/2017;17:00:01;17,946
Cataperdris;Early;2017;20/08/2017;20:00:01;15,945
Cataperdris;Early;2017;20/08/2017;23:00:01;12,941
Cataperdris;Early;2017;21/08/2017;02:00:01;11,939
Cataperdris;Early;2017;21/08/2017;05:00:01;10,937
Cataperdris;Early;2017;21/08/2017;08:00:01;9,935
Cataperdris;Early;2017;21/08/2017;11:00:01;16,946
Cataperdris;Early;2017;21/08/2017;14:00:01;19,447
Cataperdris;Early;2017;21/08/2017;17:00:01;19,947
Cataperdris;Early;2017;21/08/2017;20:00:01;17,946
Cataperdris;Early;2017;21/08/2017;23:00:01;15,444
Cataperdris;Early;2017;22/08/2017;02:00:01;13,442
Cataperdris;Early;2017;22/08/2017;05:00:01;12,44
Cataperdris;Early;2017;22/08/2017;08:00:01;11,939
Cataperdris;Early;2017;22/08/2017;11:00:01;18,947
Cataperdris;Early;2017;22/08/2017;14:00:01;20,447
Cataperdris;Early;2017;22/08/2017;17:00:01;20,447
Cataperdris;Early;2017;22/08/2017;20:00:01;17,946
Cataperdris;Early;2017;22/08/2017;23:00:01;15,945
Cataperdris;Early;2017;23/08/2017;02:00:01;14,443
Cataperdris;Early;2017;23/08/2017;05:00:01;13,942
Cataperdris;Early;2017;23/08/2017;08:00:01;12,941
Cataperdris;Early;2017;23/08/2017;11:00:01;13,442
Cataperdris;Early;2017;23/08/2017;14:00:01;17,946
Cataperdris;Early;2017;23/08/2017;17:00:01;17,946
Cataperdris;Early;2017;23/08/2017;20:00:01;15,444
Cataperdris;Early;2017;23/08/2017;23:00:01;13,442
Cataperdris;Early;2017;24/08/2017;02:00:01;12,941
Cataperdris;Early;2017;24/08/2017;05:00:01;10,937
Cataperdris;Early;2017;24/08/2017;08:00:01;9,935
Cataperdris;Early;2017;24/08/2017;11:00:01;15,444
Cataperdris;Early;2017;24/08/2017;14:00:01;17,946
Cataperdris;Early;2017;24/08/2017;17:00:01;17,946
Cataperdris;Early;2017;24/08/2017;20:00:01;15,945
Cataperdris;Early;2017;24/08/2017;23:00:01;13,942
Cataperdris;Early;2017;25/08/2017;02:00:01;12,941
Cataperdris;Early;2017;25/08/2017;05:00:01;11,939
Cataperdris;Early;2017;25/08/2017;08:00:01;11,939
Cataperdris;Early;2017;25/08/2017;11:00:01;15,945
Cataperdris;Early;2017;25/08/2017;14:00:01;18,947
Cataperdris;Early;2017;25/08/2017;17:00:01;18,947
Cataperdris;Early;2017;25/08/2017;20:00:01;16,946
Cataperdris;Early;2017;25/08/2017;23:00:01;14,443
Cataperdris;Early;2017;26/08/2017;02:00:01;12,941
Cataperdris;Early;2017;26/08/2017;05:00:01;12,44
Cataperdris;Early;2017;26/08/2017;08:00:01;11,939
Cataperdris;Early;2017;26/08/2017;11:00:01;17,446
Cataperdris;Early;2017;26/08/2017;14:00:01;18,947
