site;plot;year;date;time;temperature
Ratera;Early;2013;28/07/2013;02:00:01;9,125
Ratera;Early;2013;28/07/2013;04:00:01;8,012
Ratera;Early;2013;28/07/2013;06:00:01;7,618
Ratera;Early;2013;28/07/2013;08:00:01;8,623
Ratera;Early;2013;28/07/2013;10:00:01;10,013
Ratera;Early;2013;28/07/2013;12:00:01;12,139
Ratera;Early;2013;28/07/2013;14:00:01;14,649
Ratera;Early;2013;28/07/2013;16:00:01;16,655
Ratera;Early;2013;28/07/2013;18:00:01;14,649
Ratera;Early;2013;28/07/2013;20:00:01;11,637
Ratera;Early;2013;28/07/2013;22:00:01;9,125
Ratera;Early;2013;29/07/2013;00:00:01;7,618
Ratera;Early;2013;29/07/2013;02:00:01;7,618
Ratera;Early;2013;29/07/2013;04:00:01;7,115
Ratera;Early;2013;29/07/2013;06:00:01;6,109
Ratera;Early;2013;29/07/2013;08:00:01;5,606
Ratera;Early;2013;29/07/2013;10:00:01;8,012
Ratera;Early;2013;29/07/2013;12:00:01;11,135
Ratera;Early;2013;29/07/2013;14:00:01;14,147
Ratera;Early;2013;29/07/2013;16:00:01;16,655
Ratera;Early;2013;29/07/2013;18:00:01;18,659
Ratera;Early;2013;29/07/2013;20:00:01;13,143
Ratera;Early;2013;29/07/2013;22:00:01;11,637
Ratera;Early;2013;30/07/2013;00:00:01;9,628
Ratera;Early;2013;30/07/2013;02:00:01;8,012
Ratera;Early;2013;30/07/2013;04:00:01;6,612
Ratera;Early;2013;30/07/2013;06:00:01;5,606
Ratera;Early;2013;30/07/2013;08:00:01;7,618
Ratera;Early;2013;30/07/2013;10:00:01;12,139
Ratera;Early;2013;30/07/2013;12:00:01;14,147
Ratera;Early;2013;30/07/2013;14:00:01;15,652
Ratera;Early;2013;30/07/2013;16:00:01;16,655
Ratera;Early;2013;30/07/2013;18:00:01;18,659
Ratera;Early;2013;30/07/2013;20:00:01;13,645
Ratera;Early;2013;30/07/2013;22:00:01;10,633
Ratera;Early;2013;31/07/2013;00:00:01;9,628
Ratera;Early;2013;31/07/2013;02:00:01;8,623
Ratera;Early;2013;31/07/2013;04:00:01;7,618
Ratera;Early;2013;31/07/2013;06:00:01;6,612
Ratera;Early;2013;31/07/2013;08:00:01;8,623
Ratera;Early;2013;31/07/2013;10:00:01;13,645
Ratera;Early;2013;31/07/2013;12:00:01;16,153
Ratera;Early;2013;31/07/2013;14:00:01;18,659
Ratera;Early;2013;31/07/2013;16:00:01;20,162
Ratera;Early;2013;31/07/2013;18:00:01;23,165
Ratera;Early;2013;31/07/2013;20:00:01;16,655
Ratera;Early;2013;31/07/2013;22:00:01;13,143
Ratera;Early;2013;01/08/2013;00:00:01;11,135
Ratera;Early;2013;01/08/2013;02:00:01;9,628
Ratera;Early;2013;01/08/2013;04:00:01;9,125
Ratera;Early;2013;01/08/2013;06:00:01;8,623
Ratera;Early;2013;01/08/2013;08:00:01;10,633
Ratera;Early;2013;01/08/2013;10:00:01;14,649
Ratera;Early;2013;01/08/2013;12:00:01;16,655
Ratera;Early;2013;01/08/2013;14:00:01;19,016
Ratera;Early;2013;01/08/2013;16:00:01;19,661
Ratera;Early;2013;01/08/2013;18:00:01;20,663
Ratera;Early;2013;01/08/2013;20:00:01;16,153
Ratera;Early;2013;01/08/2013;22:00:01;12,641
Ratera;Early;2013;02/08/2013;00:00:01;12,641
Ratera;Early;2013;02/08/2013;02:00:01;12,641
Ratera;Early;2013;02/08/2013;04:00:01;10,633
Ratera;Early;2013;02/08/2013;06:00:01;9,628
Ratera;Early;2013;02/08/2013;08:00:01;11,637
Ratera;Early;2013;02/08/2013;10:00:01;16,153
Ratera;Early;2013;02/08/2013;12:00:01;18,158
Ratera;Early;2013;02/08/2013;14:00:01;20,162
Ratera;Early;2013;02/08/2013;16:00:01;20,663
Ratera;Early;2013;02/08/2013;18:00:01;21,163
Ratera;Early;2013;02/08/2013;20:00:01;17,156
Ratera;Early;2013;02/08/2013;22:00:01;11,135
Ratera;Early;2013;03/08/2013;00:00:01;11,637
Ratera;Early;2013;03/08/2013;02:00:01;11,135
Ratera;Early;2013;03/08/2013;04:00:01;11,135
Ratera;Early;2013;03/08/2013;06:00:01;10,633
Ratera;Early;2013;03/08/2013;08:00:01;10,633
Ratera;Early;2013;03/08/2013;10:00:01;13,645
Ratera;Early;2013;03/08/2013;12:00:01;16,153
Ratera;Early;2013;03/08/2013;14:00:01;16,153
Ratera;Early;2013;03/08/2013;16:00:01;16,655
Ratera;Early;2013;03/08/2013;18:00:01;17,156
Ratera;Early;2013;03/08/2013;20:00:01;15,652
Ratera;Early;2013;03/08/2013;22:00:01;12,139
Ratera;Early;2013;04/08/2013;00:00:01;11,135
Ratera;Early;2013;04/08/2013;02:00:01;11,135
