1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 500000001C9BE241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jun 18 14:00:01 CEST 2013
Mission Sample Count:  3185
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jun 18 14:00:01 CEST 2013
Total Mission Samples:  3185
Total Device Samples:  3849
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
18/06/13 14:00:01,C,28,124
18/06/13 17:00:01,C,28,624
18/06/13 20:00:01,C,27,625
18/06/13 23:00:01,C,27,625
19/06/13 02:00:01,C,27,125
19/06/13 05:00:01,C,27,125
19/06/13 08:00:01,C,27,125
19/06/13 11:00:01,C,26,625
19/06/13 14:00:01,C,26,625
19/06/13 17:00:01,C,26,625
19/06/13 20:00:01,C,26,625
19/06/13 23:00:01,C,26,625
20/06/13 02:00:01,C,26,625
20/06/13 05:00:01,C,26,625
20/06/13 08:00:01,C,26,125
20/06/13 11:00:01,C,26,125
20/06/13 14:00:01,C,26,125
20/06/13 17:00:01,C,26,125
20/06/13 20:00:01,C,26,125
20/06/13 23:00:01,C,26,125
21/06/13 02:00:01,C,26,125
21/06/13 05:00:01,C,26,125
21/06/13 08:00:01,C,25,625
21/06/13 11:00:01,C,25,625
21/06/13 14:00:01,C,25,625
21/06/13 17:00:01,C,26,125
21/06/13 20:00:01,C,26,125
21/06/13 23:00:01,C,26,125
22/06/13 02:00:01,C,26,125
22/06/13 05:00:01,C,26,125
22/06/13 08:00:01,C,26,125
22/06/13 11:00:01,C,26,125
22/06/13 14:00:01,C,26,125
22/06/13 17:00:01,C,26,125
22/06/13 20:00:01,C,26,125
22/06/13 23:00:01,C,26,125
23/06/13 02:00:01,C,26,125
23/06/13 05:00:01,C,26,125
23/06/13 08:00:01,C,26,125
23/06/13 11:00:01,C,26,125
23/06/13 14:00:01,C,25,625
23/06/13 17:00:01,C,25,625
23/06/13 20:00:01,C,25,625
23/06/13 23:00:01,C,25,625
24/06/13 02:00:01,C,25,625
24/06/13 05:00:01,C,25,125
24/06/13 08:00:01,C,25,125
24/06/13 11:00:01,C,24,125
24/06/13 14:00:01,C,24,125
24/06/13 17:00:01,C,24,625
24/06/13 20:00:01,C,24,625
24/06/13 23:00:01,C,24,625
25/06/13 02:00:01,C,24,625
25/06/13 05:00:01,C,24,125
25/06/13 08:00:01,C,24,125
25/06/13 11:00:01,C,23,625
25/06/13 14:00:01,C,23,625
25/06/13 17:00:01,C,24,125
25/06/13 20:00:01,C,24,125
25/06/13 23:00:01,C,24,125
26/06/13 02:00:01,C,24,125
26/06/13 05:00:01,C,24,125
26/06/13 08:00:01,C,24,125
26/06/13 11:00:01,C,23,625
26/06/13 14:00:01,C,24,125
26/06/13 17:00:01,C,24,125
26/06/13 20:00:01,C,24,125
26/06/13 23:00:01,C,24,125
27/06/13 02:00:01,C,24,125
27/06/13 05:00:01,C,24,125
27/06/13 08:00:01,C,24,125
27/06/13 11:00:01,C,24,125
27/06/13 14:00:01,C,24,125
27/06/13 17:00:01,C,24,125
27/06/13 20:00:01,C,24,625
27/06/13 23:00:01,C,24,625
28/06/13 02:00:01,C,24,625
28/06/13 05:00:01,C,24,125
28/06/13 08:00:01,C,24,125
28/06/13 11:00:01,C,24,125
28/06/13 14:00:01,C,24,125
28/06/13 17:00:01,C,24,125
28/06/13 20:00:01,C,24,625
28/06/13 23:00:01,C,23,125
29/06/13 02:00:01,C,20,623
29/06/13 05:00:01,C,19,121
29/06/13 08:00:01,C,18,12
29/06/13 11:00:01,C,23,125
29/06/13 14:00:01,C,28,624
29/06/13 17:00:01,C,30,622
29/06/13 20:00:01,C,31,121
29/06/13 23:00:01,C,27,125
30/06/13 02:00:01,C,24,125
30/06/13 05:00:01,C,21,123
30/06/13 08:00:01,C,19,622
30/06/13 11:00:01,C,23,125
30/06/13 14:00:01,C,30,123
30/06/13 17:00:01,C,35,115
30/06/13 20:00:01,C,36,112
30/06/13 23:00:01,C,29,124
01/07/13 02:00:01,C,24,625
01/07/13 05:00:01,C,21,624
01/07/13 08:00:01,C,20,623
01/07/13 11:00:01,C,27,125
01/07/13 14:00:01,C,28,124
01/07/13 17:00:01,C,33,118
01/07/13 20:00:01,C,30,622
01/07/13 23:00:01,C,23,125
02/07/13 02:00:01,C,20,122
02/07/13 05:00:01,C,18,62
02/07/13 08:00:01,C,18,12
02/07/13 11:00:01,C,24,125
02/07/13 14:00:01,C,21,123
02/07/13 17:00:01,C,22,124
02/07/13 20:00:01,C,20,122
02/07/13 23:00:01,C,18,12
03/07/13 02:00:01,C,15,615
03/07/13 05:00:01,C,15,114
03/07/13 08:00:01,C,14,112
03/07/13 11:00:01,C,17,118
03/07/13 14:00:01,C,22,624
03/07/13 17:00:01,C,25,625
