1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 500000001C9BE241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Mon Jul 21 17:01:01 CEST 2014
Mission Sample Count:  2912
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 21 17:01:01 CEST 2014
Total Mission Samples:  2912
Total Device Samples:  6761
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
21/07/14 17:01:01,C,11,103
21/07/14 20:01:01,C,9,598
21/07/14 23:01:01,C,7,089
22/07/14 02:01:01,C,5,583
22/07/14 05:01:01,C,3,574
22/07/14 08:01:01,C,2,569
22/07/14 11:01:01,C,11,605
22/07/14 14:01:01,C,16,617
22/07/14 17:01:01,C,14,112
22/07/14 20:01:01,C,12,106
22/07/14 23:01:01,C,9,097
23/07/14 02:01:01,C,6,587
23/07/14 05:01:01,C,5,081
23/07/14 08:01:01,C,3,574
23/07/14 11:01:01,C,14,112
23/07/14 14:01:01,C,20,122
23/07/14 17:01:01,C,17,118
23/07/14 20:01:01,C,15,615
23/07/14 23:01:01,C,11,605
24/07/14 02:01:01,C,8,595
24/07/14 05:01:01,C,7,591
24/07/14 08:01:01,C,7,089
24/07/14 11:01:01,C,15,615
24/07/14 14:01:01,C,20,122
24/07/14 17:01:01,C,15,615
24/07/14 20:01:01,C,13,61
24/07/14 23:01:01,C,11,605
25/07/14 02:01:01,C,10,1
25/07/14 05:01:01,C,9,598
25/07/14 08:01:01,C,7,591
25/07/14 11:01:01,C,10,602
25/07/14 14:01:01,C,11,605
25/07/14 17:01:01,C,11,605
25/07/14 20:01:01,C,9,097
25/07/14 23:01:01,C,7,591
26/07/14 02:01:01,C,6,587
26/07/14 05:01:01,C,5,081
26/07/14 08:01:01,C,4,076
26/07/14 11:01:01,C,12,106
26/07/14 14:01:01,C,17,118
26/07/14 17:01:01,C,15,114
26/07/14 20:01:01,C,13,109
26/07/14 23:01:01,C,11,103
27/07/14 02:01:01,C,10,1
27/07/14 05:01:01,C,8,093
27/07/14 08:01:01,C,6,085
27/07/14 11:01:01,C,13,61
27/07/14 14:01:01,C,16,116
27/07/14 17:01:01,C,15,114
27/07/14 20:01:01,C,13,109
27/07/14 23:01:01,C,11,103
28/07/14 02:01:01,C,9,598
28/07/14 05:01:01,C,7,591
28/07/14 08:01:01,C,7,089
28/07/14 11:01:01,C,8,595
28/07/14 14:01:01,C,7,089
28/07/14 17:01:01,C,9,097
28/07/14 20:01:01,C,8,595
28/07/14 23:01:01,C,7,089
29/07/14 02:01:01,C,6,085
29/07/14 05:01:01,C,5,081
29/07/14 08:01:01,C,3,574
29/07/14 11:01:01,C,5,583
29/07/14 14:01:01,C,6,587
29/07/14 17:01:01,C,7,089
29/07/14 20:01:01,C,6,085
29/07/14 23:01:01,C,4,578
30/07/14 02:01:01,C,4,578
30/07/14 05:01:01,C,3,574
30/07/14 08:01:01,C,4,076
30/07/14 11:01:01,C,8,595
30/07/14 14:01:01,C,11,103
30/07/14 17:01:01,C,12,608
30/07/14 20:01:01,C,10,602
30/07/14 23:01:01,C,8,595
31/07/14 02:01:01,C,7,089
31/07/14 05:01:01,C,6,085
31/07/14 08:01:01,C,5,081
31/07/14 11:01:01,C,12,106
31/07/14 14:01:01,C,16,116
31/07/14 17:01:01,C,16,116
31/07/14 20:01:01,C,14,613
31/07/14 23:01:01,C,10,1
01/08/14 02:01:01,C,9,097
01/08/14 05:01:01,C,7,591
01/08/14 08:01:01,C,8,093
01/08/14 11:01:01,C,9,598
01/08/14 14:01:01,C,18,12
01/08/14 17:01:01,C,12,106
01/08/14 20:01:01,C,8,093
01/08/14 23:01:01,C,7,591
02/08/14 02:01:01,C,6,587
02/08/14 05:01:01,C,6,587
02/08/14 08:01:01,C,5,081
02/08/14 11:01:01,C,9,097
02/08/14 14:01:01,C,12,106
02/08/14 17:01:01,C,10,1
02/08/14 20:01:01,C,7,591
02/08/14 23:01:01,C,6,587
03/08/14 02:01:01,C,5,583
03/08/14 05:01:01,C,4,578
03/08/14 08:01:01,C,4,578
03/08/14 11:01:01,C,9,097
03/08/14 14:01:01,C,15,114
03/08/14 17:01:01,C,13,61
03/08/14 20:01:01,C,11,103
03/08/14 23:01:01,C,8,093
04/08/14 02:01:01,C,7,089
04/08/14 05:01:01,C,6,587
04/08/14 08:01:01,C,6,587
04/08/14 11:01:01,C,11,605
04/08/14 14:01:01,C,14,613
04/08/14 17:01:01,C,15,615
04/08/14 20:01:01,C,13,61
04/08/14 23:01:01,C,10,1
05/08/14 02:01:01,C,8,595
05/08/14 05:01:01,C,8,093
05/08/14 08:01:01,C,7,591
05/08/14 11:01:01,C,11,103
05/08/14 14:01:01,C,16,617
05/08/14 17:01:01,C,14,613
05/08/14 20:01:01,C,11,605
05/08/14 23:01:01,C,9,598
06/08/14 02:01:01,C,8,093
06/08/14 05:01:01,C,6,587
06/08/14 08:01:01,C,6,085
06/08/14 11:01:01,C,11,605
06/08/14 14:01:01,C,15,615
06/08/14 17:01:01,C,14,112
06/08/14 20:01:01,C,11,605
06/08/14 23:01:01,C,10,1
07/08/14 02:01:01,C,8,595
07/08/14 05:01:01,C,7,591
07/08/14 08:01:01,C,7,591
07/08/14 11:01:01,C,11,605
07/08/14 14:01:01,C,14,112
07/08/14 17:01:01,C,14,613
07/08/14 20:01:01,C,12,608
07/08/14 23:01:01,C,10,602
08/08/14 02:01:01,C,8,595
08/08/14 05:01:01,C,8,595
08/08/14 08:01:01,C,8,595
08/08/14 11:01:01,C,13,109
08/08/14 14:01:01,C,16,116
08/08/14 17:01:01,C,16,116
08/08/14 20:01:01,C,14,613
08/08/14 23:01:01,C,9,097
09/08/14 02:01:01,C,8,595
09/08/14 05:01:01,C,8,595
09/08/14 08:01:01,C,8,595
09/08/14 11:01:01,C,11,103
09/08/14 14:01:01,C,15,114
09/08/14 17:01:01,C,14,112
09/08/14 20:01:01,C,12,608
09/08/14 23:01:01,C,10,1
10/08/14 02:01:01,C,8,595
10/08/14 05:01:01,C,8,595
10/08/14 08:01:01,C,8,595
10/08/14 11:01:01,C,13,109
10/08/14 14:01:01,C,18,12
10/08/14 17:01:01,C,17,118
10/08/14 20:01:01,C,15,114
10/08/14 23:01:01,C,11,605
11/08/14 02:01:01,C,10,1
11/08/14 05:01:01,C,9,598
11/08/14 08:01:01,C,9,598
11/08/14 11:01:01,C,12,608
11/08/14 14:01:01,C,16,116
11/08/14 17:01:01,C,17,619
11/08/14 20:01:01,C,15,114
11/08/14 23:01:01,C,12,106
12/08/14 02:01:01,C,9,598
12/08/14 05:01:01,C,9,598
12/08/14 08:01:01,C,9,598
12/08/14 11:01:01,C,12,608
12/08/14 14:01:01,C,13,61
12/08/14 17:01:01,C,13,109
12/08/14 20:01:01,C,12,608
