1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 49000000209D7041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Mon Jul 21 17:00:01 CEST 2014
Mission Sample Count:  2913
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 21 17:00:01 CEST 2014
Total Mission Samples:  2913
Total Device Samples:  6762
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
21/07/14 17:00:01,C,14,086
21/07/14 20:00:01,C,11,081
21/07/14 23:00:01,C,8,076
22/07/14 02:00:01,C,6,572
22/07/14 05:00:01,C,5,069
22/07/14 08:00:01,C,3,565
22/07/14 11:00:01,C,8,076
22/07/14 14:00:01,C,17,09
22/07/14 17:00:01,C,19,592
22/07/14 20:00:01,C,16,589
22/07/14 23:00:01,C,11,582
23/07/14 02:00:01,C,8,577
23/07/14 05:00:01,C,6,572
23/07/14 08:00:01,C,5,57
23/07/14 11:00:01,C,10,08
23/07/14 14:00:01,C,19,091
23/07/14 17:00:01,C,20,092
23/07/14 20:00:01,C,18,591
23/07/14 23:00:01,C,13,085
24/07/14 02:00:01,C,10,08
24/07/14 05:00:01,C,8,577
24/07/14 08:00:01,C,8,076
24/07/14 11:00:01,C,12,083
24/07/14 14:00:01,C,19,091
24/07/14 17:00:01,C,16,089
24/07/14 20:00:01,C,13,585
24/07/14 23:00:01,C,11,582
25/07/14 02:00:01,C,10,581
25/07/14 05:00:01,C,9,579
25/07/14 08:00:01,C,8,577
25/07/14 11:00:01,C,10,581
25/07/14 14:00:01,C,12,083
25/07/14 17:00:01,C,12,584
25/07/14 20:00:01,C,10,581
25/07/14 23:00:01,C,8,577
26/07/14 02:00:01,C,7,575
26/07/14 05:00:01,C,6,071
26/07/14 08:00:01,C,5,069
26/07/14 11:00:01,C,8,577
26/07/14 14:00:01,C,17,59
26/07/14 17:00:01,C,19,091
26/07/14 20:00:01,C,15,087
26/07/14 23:00:01,C,12,584
27/07/14 02:00:01,C,11,081
27/07/14 05:00:01,C,9,078
27/07/14 08:00:01,C,7,073
27/07/14 11:00:01,C,10,581
27/07/14 14:00:01,C,16,089
27/07/14 17:00:01,C,16,089
27/07/14 20:00:01,C,13,585
27/07/14 23:00:01,C,11,582
28/07/14 02:00:01,C,10,08
28/07/14 05:00:01,C,8,076
28/07/14 08:00:01,C,7,575
28/07/14 11:00:01,C,9,078
28/07/14 14:00:01,C,8,076
28/07/14 17:00:01,C,10,08
28/07/14 20:00:01,C,9,078
28/07/14 23:00:01,C,8,076
29/07/14 02:00:01,C,7,073
29/07/14 05:00:01,C,6,572
29/07/14 08:00:01,C,5,069
29/07/14 11:00:01,C,6,572
29/07/14 14:00:01,C,8,577
29/07/14 17:00:01,C,10,581
29/07/14 20:00:01,C,8,577
29/07/14 23:00:01,C,6,572
30/07/14 02:00:01,C,6,071
30/07/14 05:00:01,C,5,069
30/07/14 08:00:01,C,5,57
30/07/14 11:00:01,C,9,579
30/07/14 14:00:01,C,12,083
30/07/14 17:00:01,C,14,086
30/07/14 20:00:01,C,11,081
30/07/14 23:00:01,C,9,579
31/07/14 02:00:01,C,8,076
31/07/14 05:00:01,C,6,572
31/07/14 08:00:01,C,5,57
31/07/14 11:00:01,C,9,078
31/07/14 14:00:01,C,15,588
31/07/14 17:00:01,C,20,092
31/07/14 20:00:01,C,16,089
31/07/14 23:00:01,C,11,081
01/08/14 02:00:01,C,9,579
01/08/14 05:00:01,C,8,076
01/08/14 08:00:01,C,8,577
01/08/14 11:00:01,C,9,579
01/08/14 14:00:01,C,17,59
01/08/14 17:00:01,C,13,085
01/08/14 20:00:01,C,9,078
01/08/14 23:00:01,C,8,076
02/08/14 02:00:01,C,7,073
02/08/14 05:00:01,C,7,073
02/08/14 08:00:01,C,5,57
02/08/14 11:00:01,C,8,577
02/08/14 14:00:01,C,12,083
02/08/14 17:00:01,C,10,581
02/08/14 20:00:01,C,8,577
02/08/14 23:00:01,C,7,575
03/08/14 02:00:01,C,6,572
03/08/14 05:00:01,C,5,57
03/08/14 08:00:01,C,5,57
03/08/14 11:00:01,C,8,076
03/08/14 14:00:01,C,16,089
03/08/14 17:00:01,C,16,589
03/08/14 20:00:01,C,12,083
03/08/14 23:00:01,C,9,078
04/08/14 02:00:01,C,7,575
04/08/14 05:00:01,C,7,073
04/08/14 08:00:01,C,7,073
04/08/14 11:00:01,C,11,081
04/08/14 14:00:01,C,15,588
04/08/14 17:00:01,C,18,591
04/08/14 20:00:01,C,15,087
04/08/14 23:00:01,C,11,081
05/08/14 02:00:01,C,9,579
05/08/14 05:00:01,C,8,577
05/08/14 08:00:01,C,8,577
05/08/14 11:00:01,C,10,08
05/08/14 14:00:01,C,17,09
05/08/14 17:00:01,C,15,087
05/08/14 20:00:01,C,12,083
05/08/14 23:00:01,C,10,08
06/08/14 02:00:01,C,8,577
06/08/14 05:00:01,C,7,575
06/08/14 08:00:01,C,6,572
06/08/14 11:00:01,C,9,579
06/08/14 14:00:01,C,15,087
06/08/14 17:00:01,C,14,587
06/08/14 20:00:01,C,12,083
06/08/14 23:00:01,C,10,581
07/08/14 02:00:01,C,9,078
07/08/14 05:00:01,C,8,076
07/08/14 08:00:01,C,7,575
07/08/14 11:00:01,C,10,08
07/08/14 14:00:01,C,13,585
07/08/14 17:00:01,C,14,086
07/08/14 20:00:01,C,12,584
07/08/14 23:00:01,C,10,581
08/08/14 02:00:01,C,9,078
08/08/14 05:00:01,C,8,577
08/08/14 08:00:01,C,8,577
08/08/14 11:00:01,C,11,081
08/08/14 14:00:01,C,16,089
08/08/14 17:00:01,C,20,092
08/08/14 20:00:01,C,15,588
08/08/14 23:00:01,C,10,08
09/08/14 02:00:01,C,9,579
09/08/14 05:00:01,C,9,078
09/08/14 08:00:01,C,8,577
09/08/14 11:00:01,C,11,081
09/08/14 14:00:01,C,15,588
09/08/14 17:00:01,C,15,087
09/08/14 20:00:01,C,13,085
09/08/14 23:00:01,C,10,581
10/08/14 02:00:01,C,9,078
10/08/14 05:00:01,C,8,577
10/08/14 08:00:01,C,8,577
10/08/14 11:00:01,C,11,081
10/08/14 14:00:01,C,18,591
10/08/14 17:00:01,C,22,593
10/08/14 20:00:01,C,17,09
10/08/14 23:00:01,C,12,584
11/08/14 02:00:01,C,11,081
11/08/14 05:00:01,C,10,581
11/08/14 08:00:01,C,10,08
11/08/14 11:00:01,C,12,584
11/08/14 14:00:01,C,16,089
