1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9800000020944A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Mon Jul 21 17:01:01 CEST 2014
Mission Sample Count:  2913
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 21 17:01:01 CEST 2014
Total Mission Samples:  2913
Total Device Samples:  6762
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
21/07/14 17:01:01,C,11,102
21/07/14 20:01:01,C,10,098
21/07/14 23:01:01,C,8,091
22/07/14 02:01:01,C,6,586
22/07/14 05:01:01,C,5,582
22/07/14 08:01:01,C,4,577
22/07/14 11:01:01,C,8,593
22/07/14 14:01:01,C,12,606
22/07/14 17:01:01,C,14,11
22/07/14 20:01:01,C,13,609
22/07/14 23:01:01,C,11,102
23/07/14 02:01:01,C,9,095
23/07/14 05:01:01,C,7,088
23/07/14 08:01:01,C,5,582
23/07/14 11:01:01,C,9,597
23/07/14 14:01:01,C,14,611
23/07/14 17:01:01,C,16,615
23/07/14 20:01:01,C,16,615
23/07/14 23:01:01,C,13,107
24/07/14 02:01:01,C,10,6
24/07/14 05:01:01,C,9,095
24/07/14 08:01:01,C,8,593
24/07/14 11:01:01,C,11,603
24/07/14 14:01:01,C,16,114
24/07/14 17:01:01,C,15,613
24/07/14 20:01:01,C,14,11
24/07/14 23:01:01,C,12,606
25/07/14 02:01:01,C,11,102
25/07/14 05:01:01,C,10,6
25/07/14 08:01:01,C,9,597
25/07/14 11:01:01,C,10,6
25/07/14 14:01:01,C,12,105
25/07/14 17:01:01,C,12,105
25/07/14 20:01:01,C,10,6
25/07/14 23:01:01,C,8,593
26/07/14 02:01:01,C,8,091
26/07/14 05:01:01,C,6,586
26/07/14 08:01:01,C,5,582
26/07/14 11:01:01,C,9,095
26/07/14 14:01:01,C,12,606
26/07/14 17:01:01,C,14,611
26/07/14 20:01:01,C,14,11
26/07/14 23:01:01,C,12,105
27/07/14 02:01:01,C,11,603
27/07/14 05:01:01,C,10,098
27/07/14 08:01:01,C,8,091
27/07/14 11:01:01,C,10,6
27/07/14 14:01:01,C,14,11
27/07/14 17:01:01,C,15,112
27/07/14 20:01:01,C,14,11
27/07/14 23:01:01,C,12,105
28/07/14 02:01:01,C,10,6
28/07/14 05:01:01,C,9,095
28/07/14 08:01:01,C,8,091
28/07/14 11:01:01,C,9,597
28/07/14 14:01:01,C,8,091
28/07/14 17:01:01,C,10,098
28/07/14 20:01:01,C,9,597
28/07/14 23:01:01,C,8,593
29/07/14 02:01:01,C,7,088
29/07/14 05:01:01,C,6,084
29/07/14 08:01:01,C,5,079
29/07/14 11:01:01,C,6,084
29/07/14 14:01:01,C,7,088
29/07/14 17:01:01,C,8,091
29/07/14 20:01:01,C,7,59
29/07/14 23:01:01,C,6,084
30/07/14 02:01:01,C,6,084
30/07/14 05:01:01,C,5,582
30/07/14 08:01:01,C,5,582
30/07/14 11:01:01,C,8,593
30/07/14 14:01:01,C,11,102
30/07/14 17:01:01,C,12,606
30/07/14 20:01:01,C,11,102
30/07/14 23:01:01,C,10,098
31/07/14 02:01:01,C,8,593
31/07/14 05:01:01,C,7,088
31/07/14 08:01:01,C,6,084
31/07/14 11:01:01,C,8,593
31/07/14 14:01:01,C,12,606
31/07/14 17:01:01,C,15,112
31/07/14 20:01:01,C,15,112
31/07/14 23:01:01,C,11,102
01/08/14 02:01:01,C,9,597
01/08/14 05:01:01,C,8,091
01/08/14 08:01:01,C,8,593
01/08/14 11:01:01,C,9,597
01/08/14 14:01:01,C,14,611
01/08/14 17:01:01,C,13,609
01/08/14 20:01:01,C,10,098
01/08/14 23:01:01,C,8,593
02/08/14 02:01:01,C,8,091
02/08/14 05:01:01,C,7,59
02/08/14 08:01:01,C,6,586
02/08/14 11:01:01,C,9,095
02/08/14 14:01:01,C,11,603
02/08/14 17:01:01,C,11,102
02/08/14 20:01:01,C,9,095
02/08/14 23:01:01,C,8,091
03/08/14 02:01:01,C,7,088
03/08/14 05:01:01,C,6,084
03/08/14 08:01:01,C,5,582
03/08/14 11:01:01,C,8,091
03/08/14 14:01:01,C,12,105
03/08/14 17:01:01,C,13,609
03/08/14 20:01:01,C,12,105
03/08/14 23:01:01,C,9,597
04/08/14 02:01:01,C,8,091
04/08/14 05:01:01,C,7,59
04/08/14 08:01:01,C,7,59
04/08/14 11:01:01,C,10,6
04/08/14 14:01:01,C,13,107
04/08/14 17:01:01,C,15,613
04/08/14 20:01:01,C,14,611
04/08/14 23:01:01,C,11,102
05/08/14 02:01:01,C,10,098
05/08/14 05:01:01,C,9,095
05/08/14 08:01:01,C,8,593
05/08/14 11:01:01,C,10,098
05/08/14 14:01:01,C,14,11
05/08/14 17:01:01,C,14,11
05/08/14 20:01:01,C,12,606
05/08/14 23:01:01,C,11,102
