1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3B00000020954841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jul 22 14:00:01 CEST 2014
Mission Sample Count:  2928
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jul 22 14:00:01 CEST 2014
Total Mission Samples:  2928
Total Device Samples:  6784
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
22/07/14 14:00:01,C,16,114
22/07/14 17:00:01,C,21,622
22/07/14 20:00:01,C,16,615
22/07/14 23:00:01,C,10,6
23/07/14 02:00:01,C,7,088
23/07/14 05:00:01,C,5,079
23/07/14 08:00:01,C,4,577
23/07/14 11:00:01,C,11,603
23/07/14 14:00:01,C,19,62
23/07/14 17:00:01,C,22,122
23/07/14 20:00:01,C,17,116
23/07/14 23:00:01,C,13,107
24/07/14 02:00:01,C,10,098
24/07/14 05:00:01,C,9,095
24/07/14 08:00:01,C,8,091
24/07/14 11:00:01,C,14,11
24/07/14 14:00:01,C,21,121
24/07/14 17:00:01,C,19,119
24/07/14 20:00:01,C,15,112
24/07/14 23:00:01,C,12,105
25/07/14 02:00:01,C,10,098
25/07/14 05:00:01,C,9,597
25/07/14 08:00:01,C,8,593
25/07/14 11:00:01,C,10,6
25/07/14 14:00:01,C,14,611
25/07/14 17:00:01,C,12,105
25/07/14 20:00:01,C,7,088
25/07/14 23:00:01,C,7,59
26/07/14 02:00:01,C,6,586
26/07/14 05:00:01,C,5,079
26/07/14 08:00:01,C,4,075
26/07/14 11:00:01,C,10,098
26/07/14 14:00:01,C,18,118
26/07/14 17:00:01,C,23,623
26/07/14 20:00:01,C,18,118
26/07/14 23:00:01,C,13,609
27/07/14 02:00:01,C,11,603
27/07/14 05:00:01,C,9,597
27/07/14 08:00:01,C,8,091
27/07/14 11:00:01,C,12,606
27/07/14 14:00:01,C,20,12
27/07/14 17:00:01,C,22,122
27/07/14 20:00:01,C,17,116
27/07/14 23:00:01,C,13,609
28/07/14 02:00:01,C,11,603
28/07/14 05:00:01,C,9,597
28/07/14 08:00:01,C,9,095
28/07/14 11:00:01,C,10,6
28/07/14 14:00:01,C,9,597
28/07/14 17:00:01,C,9,095
28/07/14 20:00:01,C,8,091
28/07/14 23:00:01,C,7,59
29/07/14 02:00:01,C,6,586
29/07/14 05:00:01,C,5,079
