1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 68000000209A9341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jul 22 14:00:01 CEST 2014
Mission Sample Count:  2928
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jul 22 14:00:01 CEST 2014
Total Mission Samples:  2928
Total Device Samples:  6784
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
22/07/14 14:00:01,C,14,101
22/07/14 17:00:01,C,18,106
22/07/14 20:00:01,C,13,601
22/07/14 23:00:01,C,8,591
23/07/14 02:00:01,C,6,085
23/07/14 05:00:01,C,4,581
23/07/14 08:00:01,C,4,08
23/07/14 11:00:01,C,10,094
23/07/14 14:00:01,C,17,606
23/07/14 17:00:01,C,18,607
23/07/14 20:00:01,C,15,103
23/07/14 23:00:01,C,11,597
24/07/14 02:00:01,C,9,092
24/07/14 05:00:01,C,8,09
24/07/14 08:00:01,C,7,088
24/07/14 11:00:01,C,12,098
24/07/14 14:00:01,C,18,607
24/07/14 17:00:01,C,17,105
24/07/14 20:00:01,C,14,101
24/07/14 23:00:01,C,11,096
25/07/14 02:00:01,C,9,092
25/07/14 05:00:01,C,9,092
25/07/14 08:00:01,C,8,09
25/07/14 11:00:01,C,9,593
25/07/14 14:00:01,C,13,601
25/07/14 17:00:01,C,10,094
25/07/14 20:00:01,C,6,587
25/07/14 23:00:01,C,7,088
26/07/14 02:00:01,C,6,587
26/07/14 05:00:01,C,5,584
26/07/14 08:00:01,C,4,08
26/07/14 11:00:01,C,9,593
26/07/14 14:00:01,C,16,605
26/07/14 17:00:01,C,20,608
26/07/14 20:00:01,C,16,104
26/07/14 23:00:01,C,12,599
27/07/14 02:00:01,C,11,096
27/07/14 05:00:01,C,9,593
27/07/14 08:00:01,C,7,589
27/07/14 11:00:01,C,12,098
27/07/14 14:00:01,C,18,607
27/07/14 17:00:01,C,19,607
27/07/14 20:00:01,C,15,603
27/07/14 23:00:01,C,13,1
28/07/14 02:00:01,C,11,597
28/07/14 05:00:01,C,9,593
28/07/14 08:00:01,C,8,591
28/07/14 11:00:01,C,10,094
28/07/14 14:00:01,C,9,593
28/07/14 17:00:01,C,9,593
28/07/14 20:00:01,C,8,591
28/07/14 23:00:01,C,8,09
29/07/14 02:00:01,C,7,088
29/07/14 05:00:01,C,6,085
29/07/14 08:00:01,C,4,581
29/07/14 11:00:01,C,8,09
29/07/14 14:00:01,C,9,593
29/07/14 17:00:01,C,9,593
29/07/14 20:00:01,C,8,09
29/07/14 23:00:01,C,5,584
30/07/14 02:00:01,C,5,584
30/07/14 05:00:01,C,5,083
30/07/14 08:00:01,C,5,083
30/07/14 11:00:01,C,8,09
30/07/14 14:00:01,C,10,094
30/07/14 17:00:01,C,13,601
30/07/14 20:00:01,C,12,599
30/07/14 23:00:01,C,10,094
31/07/14 02:00:01,C,8,591
31/07/14 05:00:01,C,7,088
31/07/14 08:00:01,C,6,085
31/07/14 11:00:01,C,10,595
31/07/14 14:00:01,C,18,106
31/07/14 17:00:01,C,19,607
31/07/14 20:00:01,C,16,104
31/07/14 23:00:01,C,11,597
01/08/14 02:00:01,C,9,593
01/08/14 05:00:01,C,8,09
01/08/14 08:00:01,C,7,589
01/08/14 11:00:01,C,9,092
01/08/14 14:00:01,C,17,105
01/08/14 17:00:01,C,15,103
01/08/14 20:00:01,C,8,591
01/08/14 23:00:01,C,8,591
02/08/14 02:00:01,C,8,591
02/08/14 05:00:01,C,7,088
02/08/14 08:00:01,C,6,587
02/08/14 11:00:01,C,10,595
02/08/14 14:00:01,C,12,599
02/08/14 17:00:01,C,8,591
02/08/14 20:00:01,C,8,591
02/08/14 23:00:01,C,7,088
