1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A7000000209CCF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jul 22 14:00:01 CEST 2014
Mission Sample Count:  2928
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jul 22 14:00:01 CEST 2014
Total Mission Samples:  2928
Total Device Samples:  6785
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
22/07/14 14:00:01,C,20,591
22/07/14 17:00:01,C,27,093
22/07/14 20:00:01,C,19,59
22/07/14 23:00:01,C,12,074
23/07/14 02:00:01,C,9,065
23/07/14 05:00:01,C,7,057
23/07/14 08:00:01,C,6,053
23/07/14 11:00:01,C,8,563
23/07/14 14:00:01,C,22,593
23/07/14 17:00:01,C,24,094
23/07/14 20:00:01,C,18,589
23/07/14 23:00:01,C,14,08
24/07/14 02:00:01,C,11,071
24/07/14 05:00:01,C,9,566
24/07/14 08:00:01,C,8,563
24/07/14 11:00:01,C,11,071
24/07/14 14:00:01,C,23,093
24/07/14 17:00:01,C,20,091
24/07/14 20:00:01,C,16,084
24/07/14 23:00:01,C,12,576
25/07/14 02:00:01,C,10,57
25/07/14 05:00:01,C,10,57
25/07/14 08:00:01,C,9,065
25/07/14 11:00:01,C,10,57
25/07/14 14:00:01,C,15,082
25/07/14 17:00:01,C,15,082
25/07/14 20:00:01,C,10,068
25/07/14 23:00:01,C,9,065
26/07/14 02:00:01,C,8,061
26/07/14 05:00:01,C,6,555
26/07/14 08:00:01,C,5,55
26/07/14 11:00:01,C,8,061
26/07/14 14:00:01,C,20,091
26/07/14 17:00:01,C,26,094
26/07/14 20:00:01,C,20,091
26/07/14 23:00:01,C,15,583
27/07/14 02:00:01,C,13,077
27/07/14 05:00:01,C,11,071
27/07/14 08:00:01,C,9,065
27/07/14 11:00:01,C,10,57
27/07/14 14:00:01,C,23,093
27/07/14 17:00:01,C,24,594
27/07/14 20:00:01,C,18,589
27/07/14 23:00:01,C,14,581
28/07/14 02:00:01,C,12,576
28/07/14 05:00:01,C,10,57
28/07/14 08:00:01,C,9,566
28/07/14 11:00:01,C,10,57
28/07/14 14:00:01,C,10,57
28/07/14 17:00:01,C,9,566
28/07/14 20:00:01,C,8,563
28/07/14 23:00:01,C,8,061
29/07/14 02:00:01,C,7,559
29/07/14 05:00:01,C,6,555
29/07/14 08:00:01,C,5,048
29/07/14 11:00:01,C,7,559
29/07/14 14:00:01,C,10,068
29/07/14 17:00:01,C,10,57
29/07/14 20:00:01,C,8,061
29/07/14 23:00:01,C,6,053
30/07/14 02:00:01,C,6,053
30/07/14 05:00:01,C,5,048
30/07/14 08:00:01,C,5,55
30/07/14 11:00:01,C,8,563
30/07/14 14:00:01,C,11,071
30/07/14 17:00:01,C,15,082
30/07/14 20:00:01,C,14,08
30/07/14 23:00:01,C,11,071
31/07/14 02:00:01,C,9,566
31/07/14 05:00:01,C,8,061
31/07/14 08:00:01,C,7,057
31/07/14 11:00:01,C,9,065
31/07/14 14:00:01,C,21,592
31/07/14 17:00:01,C,25,094
31/07/14 20:00:01,C,18,589
31/07/14 23:00:01,C,13,077
01/08/14 02:00:01,C,11,071
01/08/14 05:00:01,C,9,065
01/08/14 08:00:01,C,9,065
01/08/14 11:00:01,C,10,068
01/08/14 14:00:01,C,21,592
01/08/14 17:00:01,C,16,585
01/08/14 20:00:01,C,11,573
01/08/14 23:00:01,C,10,068
02/08/14 02:00:01,C,9,065
02/08/14 05:00:01,C,8,061
02/08/14 08:00:01,C,7,057
02/08/14 11:00:01,C,9,566
02/08/14 14:00:01,C,13,077
02/08/14 17:00:01,C,8,563
02/08/14 20:00:01,C,8,563
02/08/14 23:00:01,C,7,057
03/08/14 02:00:01,C,6,555
03/08/14 05:00:01,C,6,053
03/08/14 08:00:01,C,5,55
03/08/14 11:00:01,C,8,061
03/08/14 14:00:01,C,18,589
03/08/14 17:00:01,C,20,591
03/08/14 20:00:01,C,16,585
03/08/14 23:00:01,C,11,573
04/08/14 02:00:01,C,10,068
04/08/14 05:00:01,C,8,563
04/08/14 08:00:01,C,8,563
04/08/14 11:00:01,C,11,071
04/08/14 14:00:01,C,14,08
04/08/14 17:00:01,C,16,084
04/08/14 20:00:01,C,14,581
04/08/14 23:00:01,C,12,074
05/08/14 02:00:01,C,11,071
05/08/14 05:00:01,C,9,566
05/08/14 08:00:01,C,9,065
05/08/14 11:00:01,C,10,57
05/08/14 14:00:01,C,18,589
05/08/14 17:00:01,C,18,589
05/08/14 20:00:01,C,15,082
05/08/14 23:00:01,C,12,074
06/08/14 02:00:01,C,10,068
06/08/14 05:00:01,C,8,563
06/08/14 08:00:01,C,7,559
06/08/14 11:00:01,C,9,566
06/08/14 14:00:01,C,18,589
06/08/14 17:00:01,C,18,589
06/08/14 20:00:01,C,13,579
06/08/14 23:00:01,C,12,074
07/08/14 02:00:01,C,11,071
07/08/14 05:00:01,C,9,065
07/08/14 08:00:01,C,8,061
07/08/14 11:00:01,C,11,071
07/08/14 14:00:01,C,18,088
07/08/14 17:00:01,C,18,088
07/08/14 20:00:01,C,14,581
07/08/14 23:00:01,C,13,077
08/08/14 02:00:01,C,11,573
08/08/14 05:00:01,C,11,071
08/08/14 08:00:01,C,10,57
08/08/14 11:00:01,C,12,576
08/08/14 14:00:01,C,22,593
08/08/14 17:00:01,C,19,59
08/08/14 20:00:01,C,16,084
08/08/14 23:00:01,C,13,579
09/08/14 02:00:01,C,12,074
09/08/14 05:00:01,C,11,071
09/08/14 08:00:01,C,10,57
09/08/14 11:00:01,C,11,573
09/08/14 14:00:01,C,20,091
09/08/14 17:00:01,C,20,091
09/08/14 20:00:01,C,16,084
09/08/14 23:00:01,C,13,077
10/08/14 02:00:01,C,12,576
10/08/14 05:00:01,C,11,573
10/08/14 08:00:01,C,11,071
10/08/14 11:00:01,C,13,077
10/08/14 14:00:01,C,23,093
10/08/14 17:00:01,C,31,589
10/08/14 20:00:01,C,22,093
10/08/14 23:00:01,C,16,585
11/08/14 02:00:01,C,13,579
11/08/14 05:00:01,C,12,074
11/08/14 08:00:01,C,11,071
11/08/14 11:00:01,C,14,08
11/08/14 14:00:01,C,20,591
11/08/14 17:00:01,C,22,593
11/08/14 20:00:01,C,17,587
11/08/14 23:00:01,C,14,08
12/08/14 02:00:01,C,12,074
12/08/14 05:00:01,C,11,573
12/08/14 08:00:01,C,11,071
12/08/14 11:00:01,C,13,077
12/08/14 14:00:01,C,15,082
12/08/14 17:00:01,C,16,585
12/08/14 20:00:01,C,14,581
12/08/14 23:00:01,C,12,074
13/08/14 02:00:01,C,11,573
13/08/14 05:00:01,C,11,573
13/08/14 08:00:01,C,9,566
13/08/14 11:00:01,C,10,57
13/08/14 14:00:01,C,23,093
13/08/14 17:00:01,C,16,084
13/08/14 20:00:01,C,11,573
13/08/14 23:00:01,C,9,566
