1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 49000000209D7041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jul 21 09:11:01 CEST 2015
Mission Sample Count:  2970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jul 21 09:11:01 CEST 2015
Total Mission Samples:  2970
Total Device Samples:  9732
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
21/07/15 09:11:01,C,9,078
21/07/15 12:11:01,C,17,59
21/07/15 15:11:01,C,16,589
21/07/15 18:11:01,C,14,086
21/07/15 21:11:01,C,9,579
22/07/15 00:11:01,C,9,579
22/07/15 03:11:01,C,8,076
22/07/15 06:11:01,C,9,078
22/07/15 09:11:01,C,10,08
22/07/15 12:11:01,C,19,592
22/07/15 15:11:01,C,19,091
22/07/15 18:11:01,C,14,086
22/07/15 21:11:01,C,12,083
23/07/15 00:11:01,C,11,081
23/07/15 03:11:01,C,10,08
23/07/15 06:11:01,C,8,076
23/07/15 09:11:01,C,7,575
23/07/15 12:11:01,C,17,09
23/07/15 15:11:01,C,27,094
23/07/15 18:11:01,C,28,593
23/07/15 21:11:01,C,15,588
24/07/15 00:11:01,C,11,081
24/07/15 03:11:01,C,10,08
24/07/15 06:11:01,C,9,078
24/07/15 09:11:01,C,9,579
24/07/15 12:11:01,C,19,592
24/07/15 15:11:01,C,23,094
24/07/15 18:11:01,C,18,591
24/07/15 21:11:01,C,14,587
25/07/15 00:11:01,C,12,083
25/07/15 03:11:01,C,11,081
25/07/15 06:11:01,C,10,08
25/07/15 09:11:01,C,9,579
25/07/15 12:11:01,C,18,091
25/07/15 15:11:01,C,24,594
25/07/15 18:11:01,C,25,594
25/07/15 21:11:01,C,12,584
26/07/15 00:11:01,C,9,579
26/07/15 03:11:01,C,9,078
26/07/15 06:11:01,C,9,078
26/07/15 09:11:01,C,9,078
26/07/15 12:11:01,C,20,092
26/07/15 15:11:01,C,26,094
26/07/15 18:11:01,C,24,094
26/07/15 21:11:01,C,14,587
27/07/15 00:11:01,C,11,582
27/07/15 03:11:01,C,10,581
27/07/15 06:11:01,C,10,581
27/07/15 09:11:01,C,10,581
27/07/15 12:11:01,C,19,091
27/07/15 15:11:01,C,27,593
27/07/15 18:11:01,C,30,592
27/07/15 21:11:01,C,15,087
28/07/15 00:11:01,C,11,081
28/07/15 03:11:01,C,9,078
28/07/15 06:11:01,C,8,076
28/07/15 09:11:01,C,8,577
28/07/15 12:11:01,C,19,091
28/07/15 15:11:01,C,28,093
28/07/15 18:11:01,C,28,093
28/07/15 21:11:01,C,15,588
29/07/15 00:11:01,C,11,582
29/07/15 03:11:01,C,10,581
29/07/15 06:11:01,C,10,08
29/07/15 09:11:01,C,11,081
29/07/15 12:11:01,C,17,59
29/07/15 15:11:01,C,24,594
29/07/15 18:11:01,C,28,593
29/07/15 21:11:01,C,14,086
30/07/15 00:11:01,C,12,083
30/07/15 03:11:01,C,12,083
30/07/15 06:11:01,C,11,081
30/07/15 09:11:01,C,11,582
30/07/15 12:11:01,C,14,086
30/07/15 15:11:01,C,9,078
30/07/15 18:11:01,C,10,08
30/07/15 21:11:01,C,9,579
31/07/15 00:11:01,C,7,575
31/07/15 03:11:01,C,8,577
31/07/15 06:11:01,C,8,577
31/07/15 09:11:01,C,10,581
31/07/15 12:11:01,C,13,585
31/07/15 15:11:01,C,15,588
31/07/15 18:11:01,C,11,081
31/07/15 21:11:01,C,7,575
01/08/15 00:11:01,C,7,073
01/08/15 03:11:01,C,7,073
01/08/15 06:11:01,C,6,572
01/08/15 09:11:01,C,6,071
01/08/15 12:11:01,C,13,085
01/08/15 15:11:01,C,16,589
01/08/15 18:11:01,C,20,092
01/08/15 21:11:01,C,11,081
02/08/15 00:11:01,C,7,073
02/08/15 03:11:01,C,5,57
02/08/15 06:11:01,C,4,066
02/08/15 09:11:01,C,5,069
02/08/15 12:11:01,C,16,589
02/08/15 15:11:01,C,26,594
02/08/15 18:11:01,C,22,593
02/08/15 21:11:01,C,13,585
03/08/15 00:11:01,C,10,08
03/08/15 03:11:01,C,8,577
03/08/15 06:11:01,C,7,575
03/08/15 09:11:01,C,8,076
03/08/15 12:11:01,C,18,591
03/08/15 15:11:01,C,28,093
03/08/15 18:11:01,C,28,593
03/08/15 21:11:01,C,15,087
04/08/15 00:11:01,C,13,585
04/08/15 03:11:01,C,11,081
04/08/15 06:11:01,C,10,08
04/08/15 09:11:01,C,10,581
04/08/15 12:11:01,C,17,59
04/08/15 15:11:01,C,22,093
04/08/15 18:11:01,C,20,092
04/08/15 21:11:01,C,13,585
05/08/15 00:11:01,C,11,081
05/08/15 03:11:01,C,10,08
05/08/15 06:11:01,C,9,078
05/08/15 09:11:01,C,9,579
05/08/15 12:11:01,C,19,091
05/08/15 15:11:01,C,25,094
05/08/15 18:11:01,C,23,094
05/08/15 21:11:01,C,15,087
06/08/15 00:11:01,C,11,582
06/08/15 03:11:01,C,10,08
06/08/15 06:11:01,C,10,08
06/08/15 09:11:01,C,10,08
06/08/15 12:11:01,C,19,592
06/08/15 15:11:01,C,29,593
06/08/15 18:11:01,C,30,592
06/08/15 21:11:01,C,15,588
07/08/15 00:11:01,C,13,085
07/08/15 03:11:01,C,12,083
07/08/15 06:11:01,C,11,081
07/08/15 09:11:01,C,11,582
07/08/15 12:11:01,C,20,092
07/08/15 15:11:01,C,30,092
07/08/15 18:11:01,C,30,092
07/08/15 21:11:01,C,16,589
08/08/15 00:11:01,C,13,585
08/08/15 03:11:01,C,12,083
08/08/15 06:11:01,C,12,083
08/08/15 09:11:01,C,12,083
08/08/15 12:11:01,C,18,591
08/08/15 15:11:01,C,13,085
08/08/15 18:11:01,C,9,579
08/08/15 21:11:01,C,10,581
09/08/15 00:11:01,C,8,076
09/08/15 03:11:01,C,7,073
09/08/15 06:11:01,C,6,071
09/08/15 09:11:01,C,8,577
09/08/15 12:11:01,C,11,582
09/08/15 15:11:01,C,14,587
09/08/15 18:11:01,C,12,584
09/08/15 21:11:01,C,9,579
10/08/15 00:11:01,C,8,076
10/08/15 03:11:01,C,6,572
10/08/15 06:11:01,C,5,069
10/08/15 09:11:01,C,5,069
10/08/15 12:11:01,C,13,085
10/08/15 15:11:01,C,24,094
10/08/15 18:11:01,C,25,594
10/08/15 21:11:01,C,12,083
11/08/15 00:11:01,C,9,579
11/08/15 03:11:01,C,7,575
11/08/15 06:11:01,C,6,572
11/08/15 09:11:01,C,6,572
11/08/15 12:11:01,C,16,589
11/08/15 15:11:01,C,27,593
11/08/15 18:11:01,C,28,593
11/08/15 21:11:01,C,14,086
12/08/15 00:11:01,C,11,582
12/08/15 03:11:01,C,10,08
12/08/15 06:11:01,C,9,579
12/08/15 09:11:01,C,10,08
12/08/15 12:11:01,C,19,592
12/08/15 15:11:01,C,26,094
12/08/15 18:11:01,C,21,093
12/08/15 21:11:01,C,14,086
13/08/15 00:11:01,C,11,081
13/08/15 03:11:01,C,11,582
13/08/15 06:11:01,C,10,08
13/08/15 09:11:01,C,11,582
13/08/15 12:11:01,C,15,087
13/08/15 15:11:01,C,19,091
13/08/15 18:11:01,C,17,09
13/08/15 21:11:01,C,12,083
14/08/15 00:11:01,C,10,581
14/08/15 03:11:01,C,9,579
14/08/15 06:11:01,C,8,076
14/08/15 09:11:01,C,9,078
14/08/15 12:11:01,C,9,579
14/08/15 15:11:01,C,11,582
14/08/15 18:11:01,C,9,078
14/08/15 21:11:01,C,7,575
15/08/15 00:11:01,C,7,073
15/08/15 03:11:01,C,7,073
15/08/15 06:11:01,C,6,071
15/08/15 09:11:01,C,7,073
15/08/15 12:11:01,C,11,081
15/08/15 15:11:01,C,9,579
15/08/15 18:11:01,C,7,575
15/08/15 21:11:01,C,6,572
16/08/15 00:11:01,C,6,572
16/08/15 03:11:01,C,3,565
16/08/15 06:11:01,C,1,559
16/08/15 09:11:01,C,2,061
16/08/15 12:11:01,C,11,081
16/08/15 15:11:01,C,18,091
16/08/15 18:11:01,C,17,09
16/08/15 21:11:01,C,10,08
17/08/15 00:11:01,C,8,076
17/08/15 03:11:01,C,7,575
17/08/15 06:11:01,C,7,073
17/08/15 09:11:01,C,6,071
17/08/15 12:11:01,C,13,085
17/08/15 15:11:01,C,16,589
17/08/15 18:11:01,C,9,078
17/08/15 21:11:01,C,8,076
18/08/15 00:11:01,C,7,575
18/08/15 03:11:01,C,7,073
18/08/15 06:11:01,C,6,572
18/08/15 09:11:01,C,7,575
18/08/15 12:11:01,C,10,581
18/08/15 15:11:01,C,14,587
18/08/15 18:11:01,C,8,076
18/08/15 21:11:01,C,6,572
19/08/15 00:11:01,C,6,572
19/08/15 03:11:01,C,4,567
19/08/15 06:11:01,C,4,066
19/08/15 09:11:01,C,3,063
19/08/15 12:11:01,C,11,081
19/08/15 15:11:01,C,16,089
19/08/15 18:11:01,C,14,587
19/08/15 21:11:01,C,10,08
20/08/15 00:11:01,C,7,575
20/08/15 03:11:01,C,5,57
20/08/15 06:11:01,C,4,066
20/08/15 09:11:01,C,4,066
20/08/15 12:11:01,C,12,584
20/08/15 15:11:01,C,23,594
20/08/15 18:11:01,C,23,594
20/08/15 21:11:01,C,10,08
21/08/15 00:11:01,C,8,076
21/08/15 03:11:01,C,7,073
21/08/15 06:11:01,C,6,071
21/08/15 09:11:01,C,5,57
21/08/15 12:11:01,C,14,086
21/08/15 15:11:01,C,24,594
21/08/15 18:11:01,C,25,594
21/08/15 21:11:01,C,11,582
22/08/15 00:11:01,C,10,08
22/08/15 03:11:01,C,9,078
22/08/15 06:11:01,C,9,078
22/08/15 09:11:01,C,10,08
22/08/15 12:11:01,C,14,587
22/08/15 15:11:01,C,18,091
22/08/15 18:11:01,C,14,587
22/08/15 21:11:01,C,10,581
23/08/15 00:11:01,C,7,575
23/08/15 03:11:01,C,6,572
23/08/15 06:11:01,C,7,073
23/08/15 09:11:01,C,8,577
23/08/15 12:11:01,C,14,086
23/08/15 15:11:01,C,15,588
23/08/15 18:11:01,C,13,085
23/08/15 21:11:01,C,9,579
24/08/15 00:11:01,C,7,575
24/08/15 03:11:01,C,7,073
24/08/15 06:11:01,C,5,57
24/08/15 09:11:01,C,6,572
24/08/15 12:11:01,C,12,584
24/08/15 15:11:01,C,19,592
24/08/15 18:11:01,C,15,087
24/08/15 21:11:01,C,8,577
25/08/15 00:11:01,C,7,073
25/08/15 03:11:01,C,4,567
25/08/15 06:11:01,C,3,063
25/08/15 09:11:01,C,4,066
25/08/15 12:11:01,C,12,083
25/08/15 15:11:01,C,19,592
25/08/15 18:11:01,C,23,094
25/08/15 21:11:01,C,9,579
26/08/15 00:11:01,C,7,073
26/08/15 03:11:01,C,6,572
26/08/15 06:11:01,C,6,071
26/08/15 09:11:01,C,6,071
26/08/15 12:11:01,C,14,086
26/08/15 15:11:01,C,24,594
26/08/15 18:11:01,C,26,594
26/08/15 21:11:01,C,11,081
27/08/15 00:11:01,C,8,076
27/08/15 03:11:01,C,8,076
27/08/15 06:11:01,C,7,575
27/08/15 09:11:01,C,8,076
27/08/15 12:11:01,C,15,087
27/08/15 15:11:01,C,21,093
27/08/15 18:11:01,C,21,093
27/08/15 21:11:01,C,11,081
28/08/15 00:11:01,C,8,577
28/08/15 03:11:01,C,8,076
28/08/15 06:11:01,C,7,575
28/08/15 09:11:01,C,7,575
28/08/15 12:11:01,C,16,089
28/08/15 15:11:01,C,25,094
28/08/15 18:11:01,C,27,593
28/08/15 21:11:01,C,12,584
29/08/15 00:11:01,C,9,579
29/08/15 03:11:01,C,8,577
29/08/15 06:11:01,C,7,575
29/08/15 09:11:01,C,7,575
29/08/15 12:11:01,C,16,089
29/08/15 15:11:01,C,26,094
29/08/15 18:11:01,C,26,094
29/08/15 21:11:01,C,13,085
30/08/15 00:11:01,C,10,08
30/08/15 03:11:01,C,9,078
30/08/15 06:11:01,C,7,073
30/08/15 09:11:01,C,7,575
30/08/15 12:11:01,C,16,089
30/08/15 15:11:01,C,24,594
30/08/15 18:11:01,C,26,094
30/08/15 21:11:01,C,11,582
31/08/15 00:11:01,C,10,08
31/08/15 03:11:01,C,9,579
31/08/15 06:11:01,C,9,579
31/08/15 09:11:01,C,10,581
31/08/15 12:11:01,C,17,09
31/08/15 15:11:01,C,24,094
31/08/15 18:11:01,C,24,594
31/08/15 21:11:01,C,12,584
01/09/15 00:11:01,C,9,579
01/09/15 03:11:01,C,8,577
01/09/15 06:11:01,C,7,575
01/09/15 09:11:01,C,8,577
01/09/15 12:11:01,C,11,081
01/09/15 15:11:01,C,10,581
01/09/15 18:11:01,C,9,579
01/09/15 21:11:01,C,9,078
02/09/15 00:11:01,C,6,071
02/09/15 03:11:01,C,5,57
02/09/15 06:11:01,C,6,071
02/09/15 09:11:01,C,7,073
02/09/15 12:11:01,C,12,584
02/09/15 15:11:01,C,14,086
02/09/15 18:11:01,C,13,085
02/09/15 21:11:01,C,9,078
03/09/15 00:11:01,C,7,073
03/09/15 03:11:01,C,7,073
03/09/15 06:11:01,C,6,071
03/09/15 09:11:01,C,7,073
03/09/15 12:11:01,C,9,579
03/09/15 15:11:01,C,9,078
03/09/15 18:11:01,C,8,076
03/09/15 21:11:01,C,6,071
04/09/15 00:11:01,C,5,57
04/09/15 03:11:01,C,5,57
04/09/15 06:11:01,C,5,57
04/09/15 09:11:01,C,6,071
04/09/15 12:11:01,C,7,073
04/09/15 15:11:01,C,8,577
04/09/15 18:11:01,C,8,577
04/09/15 21:11:01,C,4,567
05/09/15 00:11:01,C,4,066
05/09/15 03:11:01,C,4,066
05/09/15 06:11:01,C,2,562
05/09/15 09:11:01,C,3,565
05/09/15 12:11:01,C,8,577
05/09/15 15:11:01,C,14,587
05/09/15 18:11:01,C,9,078
05/09/15 21:11:01,C,6,071
06/09/15 00:11:01,C,5,069
06/09/15 03:11:01,C,3,063
06/09/15 06:11:01,C,1,058
06/09/15 09:11:01,C,0,556
06/09/15 12:11:01,C,7,575
06/09/15 15:11:01,C,11,582
06/09/15 18:11:01,C,9,078
06/09/15 21:11:01,C,6,572
07/09/15 00:11:01,C,5,57
07/09/15 03:11:01,C,3,063
07/09/15 06:11:01,C,1,058
07/09/15 09:11:01,C,1,058
07/09/15 12:11:01,C,8,577
07/09/15 15:11:01,C,20,092
07/09/15 18:11:01,C,14,086
07/09/15 21:11:01,C,8,076
08/09/15 00:11:01,C,7,073
08/09/15 03:11:01,C,4,567
08/09/15 06:11:01,C,3,565
08/09/15 09:11:01,C,3,565
08/09/15 12:11:01,C,10,581
08/09/15 15:11:01,C,13,085
08/09/15 18:11:01,C,9,579
08/09/15 21:11:01,C,7,073
09/09/15 00:11:01,C,6,071
09/09/15 03:11:01,C,3,063
09/09/15 06:11:01,C,2,061
09/09/15 09:11:01,C,2,061
09/09/15 12:11:01,C,9,078
09/09/15 15:11:01,C,14,086
09/09/15 18:11:01,C,10,581
09/09/15 21:11:01,C,7,073
10/09/15 00:11:01,C,5,57
10/09/15 03:11:01,C,4,066
10/09/15 06:11:01,C,4,567
10/09/15 09:11:01,C,5,069
10/09/15 12:11:01,C,5,069
10/09/15 15:11:01,C,11,582
10/09/15 18:11:01,C,9,579
10/09/15 21:11:01,C,5,069
11/09/15 00:11:01,C,3,565
11/09/15 03:11:01,C,3,565
11/09/15 06:11:01,C,3,063
11/09/15 09:11:01,C,2,562
11/09/15 12:11:01,C,9,078
11/09/15 15:11:01,C,9,579
11/09/15 18:11:01,C,11,582
11/09/15 21:11:01,C,6,071
12/09/15 00:11:01,C,5,069
12/09/15 03:11:01,C,6,071
12/09/15 06:11:01,C,7,073
12/09/15 09:11:01,C,7,575
12/09/15 12:11:01,C,9,078
12/09/15 15:11:01,C,8,577
12/09/15 18:11:01,C,8,076
12/09/15 21:11:01,C,6,071
13/09/15 00:11:01,C,5,57
13/09/15 03:11:01,C,5,069
13/09/15 06:11:01,C,4,567
13/09/15 09:11:01,C,5,57
13/09/15 12:11:01,C,9,579
13/09/15 15:11:01,C,11,582
13/09/15 18:11:01,C,9,579
13/09/15 21:11:01,C,5,069
14/09/15 00:11:01,C,4,567
14/09/15 03:11:01,C,4,066
14/09/15 06:11:01,C,4,066
14/09/15 09:11:01,C,1,559
14/09/15 12:11:01,C,8,577
14/09/15 15:11:01,C,15,087
14/09/15 18:11:01,C,9,579
14/09/15 21:11:01,C,5,069
15/09/15 00:11:01,C,3,565
15/09/15 03:11:01,C,3,565
15/09/15 06:11:01,C,3,565
15/09/15 09:11:01,C,4,567
15/09/15 12:11:01,C,7,073
15/09/15 15:11:01,C,11,081
15/09/15 18:11:01,C,7,575
15/09/15 21:11:01,C,5,57
16/09/15 00:11:01,C,6,071
16/09/15 03:11:01,C,6,071
16/09/15 06:11:01,C,6,572
16/09/15 09:11:01,C,6,071
16/09/15 12:11:01,C,7,073
16/09/15 15:11:01,C,9,078
16/09/15 18:11:01,C,9,078
16/09/15 21:11:01,C,7,575
17/09/15 00:11:01,C,7,073
17/09/15 03:11:01,C,7,073
17/09/15 06:11:01,C,4,567
17/09/15 09:11:01,C,3,063
17/09/15 12:11:01,C,6,572
17/09/15 15:11:01,C,13,585
17/09/15 18:11:01,C,9,579
17/09/15 21:11:01,C,6,071
18/09/15 00:11:01,C,4,567
18/09/15 03:11:01,C,3,063
18/09/15 06:11:01,C,1,559
18/09/15 09:11:01,C,2,061
18/09/15 12:11:01,C,7,575
18/09/15 15:11:01,C,17,59
18/09/15 18:11:01,C,10,08
18/09/15 21:11:01,C,6,572
19/09/15 00:11:01,C,5,57
19/09/15 03:11:01,C,2,562
19/09/15 06:11:01,C,1,058
19/09/15 09:11:01,C,1,058
19/09/15 12:11:01,C,7,073
19/09/15 15:11:01,C,17,09
19/09/15 18:11:01,C,11,081
19/09/15 21:11:01,C,6,572
20/09/15 00:11:01,C,4,066
20/09/15 03:11:01,C,2,061
20/09/15 06:11:01,C,0,556
20/09/15 09:11:01,C,0,556
20/09/15 12:11:01,C,6,572
20/09/15 15:11:01,C,20,592
20/09/15 18:11:01,C,12,083
20/09/15 21:11:01,C,4,567
21/09/15 00:11:01,C,3,565
21/09/15 03:11:01,C,2,562
21/09/15 06:11:01,C,2,061
21/09/15 09:11:01,C,1,559
21/09/15 12:11:01,C,7,073
21/09/15 15:11:01,C,20,592
21/09/15 18:11:01,C,11,582
21/09/15 21:11:01,C,4,066
22/09/15 00:11:01,C,3,565
22/09/15 03:11:01,C,3,565
22/09/15 06:11:01,C,3,063
22/09/15 09:11:01,C,3,565
22/09/15 12:11:01,C,8,577
22/09/15 15:11:01,C,15,087
22/09/15 18:11:01,C,12,584
22/09/15 21:11:01,C,7,073
23/09/15 00:11:01,C,5,069
23/09/15 03:11:01,C,4,066
23/09/15 06:11:01,C,3,063
23/09/15 09:11:01,C,1,559
23/09/15 12:11:01,C,6,572
23/09/15 15:11:01,C,14,086
23/09/15 18:11:01,C,7,073
23/09/15 21:11:01,C,2,061
24/09/15 00:11:01,C,-0,447
24/09/15 03:11:01,C,-0,949
24/09/15 06:11:01,C,0,055
24/09/15 09:11:01,C,0,556
24/09/15 12:11:01,C,5,069
24/09/15 15:11:01,C,16,089
24/09/15 18:11:01,C,9,078
24/09/15 21:11:01,C,4,066
25/09/15 00:11:01,C,2,562
25/09/15 03:11:01,C,2,061
25/09/15 06:11:01,C,2,061
25/09/15 09:11:01,C,2,061
25/09/15 12:11:01,C,4,567
25/09/15 15:11:01,C,17,59
25/09/15 18:11:01,C,8,076
25/09/15 21:11:01,C,4,066
26/09/15 00:11:01,C,2,061
26/09/15 03:11:01,C,1,058
26/09/15 06:11:01,C,0,556
26/09/15 09:11:01,C,0,556
26/09/15 12:11:01,C,3,063
26/09/15 15:11:01,C,17,09
26/09/15 18:11:01,C,7,575
26/09/15 21:11:01,C,3,565
27/09/15 00:11:01,C,1,559
27/09/15 03:11:01,C,0,556
27/09/15 06:11:01,C,0,556
27/09/15 09:11:01,C,0,556
27/09/15 12:11:01,C,2,562
27/09/15 15:11:01,C,7,073
27/09/15 18:11:01,C,6,572
27/09/15 21:11:01,C,2,562
28/09/15 00:11:01,C,1,058
28/09/15 03:11:01,C,0,556
28/09/15 06:11:01,C,-0,447
28/09/15 09:11:01,C,-0,447
28/09/15 12:11:01,C,1,058
28/09/15 15:11:01,C,8,577
28/09/15 18:11:01,C,6,071
28/09/15 21:11:01,C,4,066
29/09/15 00:11:01,C,2,562
29/09/15 03:11:01,C,-0,447
29/09/15 06:11:01,C,-1,45
29/09/15 09:11:01,C,-1,45
29/09/15 12:11:01,C,1,058
29/09/15 15:11:01,C,7,073
29/09/15 18:11:01,C,2,562
29/09/15 21:11:01,C,2,061
30/09/15 00:11:01,C,2,061
30/09/15 03:11:01,C,2,061
30/09/15 06:11:01,C,2,061
30/09/15 09:11:01,C,2,562
30/09/15 12:11:01,C,4,066
30/09/15 15:11:01,C,4,066
30/09/15 18:11:01,C,4,567
30/09/15 21:11:01,C,1,559
01/10/15 00:11:01,C,2,061
01/10/15 03:11:01,C,2,061
01/10/15 06:11:01,C,1,058
01/10/15 09:11:01,C,1,058
01/10/15 12:11:01,C,5,57
01/10/15 15:11:01,C,8,076
01/10/15 18:11:01,C,5,069
01/10/15 21:11:01,C,1,559
02/10/15 00:11:01,C,2,061
02/10/15 03:11:01,C,1,058
02/10/15 06:11:01,C,1,058
02/10/15 09:11:01,C,1,058
02/10/15 12:11:01,C,1,559
02/10/15 15:11:01,C,10,581
02/10/15 18:11:01,C,5,57
