1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9800000020944A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Tue Jul 21 09:20:01 CEST 2015
Mission Sample Count:  2970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jul 21 09:20:01 CEST 2015
Total Mission Samples:  2970
Total Device Samples:  9732
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
21/07/15 09:20:01,C,10,098
21/07/15 12:20:01,C,16,615
21/07/15 15:20:01,C,16,615
21/07/15 18:20:01,C,14,611
21/07/15 21:20:01,C,11,102
22/07/15 00:20:01,C,10,098
22/07/15 03:20:01,C,9,095
22/07/15 06:20:01,C,9,597
22/07/15 09:20:01,C,10,6
22/07/15 12:20:01,C,16,114
22/07/15 15:20:01,C,17,116
22/07/15 18:20:01,C,14,11
22/07/15 21:20:01,C,12,606
23/07/15 00:20:01,C,11,102
23/07/15 03:20:01,C,10,098
23/07/15 06:20:01,C,8,593
23/07/15 09:20:01,C,8,091
23/07/15 12:20:01,C,15,613
23/07/15 15:20:01,C,17,617
23/07/15 18:20:01,C,18,618
23/07/15 21:20:01,C,14,611
24/07/15 00:20:01,C,11,603
24/07/15 03:20:01,C,10,6
24/07/15 06:20:01,C,9,597
24/07/15 09:20:01,C,10,098
24/07/15 12:20:01,C,19,119
24/07/15 15:20:01,C,19,62
24/07/15 18:20:01,C,16,615
24/07/15 21:20:01,C,13,609
25/07/15 00:20:01,C,11,603
25/07/15 03:20:01,C,11,603
25/07/15 06:20:01,C,10,098
25/07/15 09:20:01,C,10,098
25/07/15 12:20:01,C,18,118
25/07/15 15:20:01,C,18,618
25/07/15 18:20:01,C,17,617
25/07/15 21:20:01,C,12,606
26/07/15 00:20:01,C,9,597
26/07/15 03:20:01,C,8,593
26/07/15 06:20:01,C,9,597
26/07/15 09:20:01,C,9,597
26/07/15 12:20:01,C,18,618
26/07/15 15:20:01,C,19,62
26/07/15 18:20:01,C,20,12
26/07/15 21:20:01,C,15,112
27/07/15 00:20:01,C,11,603
27/07/15 03:20:01,C,10,6
27/07/15 06:20:01,C,10,6
27/07/15 09:20:01,C,11,102
27/07/15 12:20:01,C,20,12
27/07/15 15:20:01,C,20,12
27/07/15 18:20:01,C,22,122
27/07/15 21:20:01,C,15,112
28/07/15 00:20:01,C,11,603
28/07/15 03:20:01,C,9,597
28/07/15 06:20:01,C,8,593
28/07/15 09:20:01,C,9,095
28/07/15 12:20:01,C,20,12
28/07/15 15:20:01,C,21,121
28/07/15 18:20:01,C,20,621
28/07/15 21:20:01,C,15,112
29/07/15 00:20:01,C,12,105
29/07/15 03:20:01,C,10,6
29/07/15 06:20:01,C,10,098
29/07/15 09:20:01,C,11,603
29/07/15 12:20:01,C,16,615
29/07/15 15:20:01,C,20,621
29/07/15 18:20:01,C,19,62
29/07/15 21:20:01,C,14,11
30/07/15 00:20:01,C,12,105
30/07/15 03:20:01,C,12,105
30/07/15 06:20:01,C,11,603
30/07/15 09:20:01,C,11,603
30/07/15 12:20:01,C,14,11
30/07/15 15:20:01,C,10,098
30/07/15 18:20:01,C,10,098
30/07/15 21:20:01,C,9,597
31/07/15 00:20:01,C,7,59
31/07/15 03:20:01,C,8,593
31/07/15 06:20:01,C,8,593
31/07/15 09:20:01,C,10,6
31/07/15 12:20:01,C,12,606
31/07/15 15:20:01,C,14,611
31/07/15 18:20:01,C,11,102
31/07/15 21:20:01,C,7,59
01/08/15 00:20:01,C,7,088
01/08/15 03:20:01,C,7,088
01/08/15 06:20:01,C,6,586
01/08/15 09:20:01,C,6,084
01/08/15 12:20:01,C,11,102
01/08/15 15:20:01,C,14,11
01/08/15 18:20:01,C,16,615
01/08/15 21:20:01,C,11,102
02/08/15 00:20:01,C,7,59
02/08/15 03:20:01,C,5,582
02/08/15 06:20:01,C,4,577
02/08/15 09:20:01,C,5,079
02/08/15 12:20:01,C,15,112
02/08/15 15:20:01,C,17,116
02/08/15 18:20:01,C,17,116
02/08/15 21:20:01,C,14,11
03/08/15 00:20:01,C,10,6
03/08/15 03:20:01,C,9,095
03/08/15 06:20:01,C,8,091
03/08/15 09:20:01,C,8,091
03/08/15 12:20:01,C,17,617
03/08/15 15:20:01,C,21,121
03/08/15 18:20:01,C,21,121
03/08/15 21:20:01,C,15,112
04/08/15 00:20:01,C,13,609
04/08/15 03:20:01,C,11,603
04/08/15 06:20:01,C,10,098
04/08/15 09:20:01,C,10,6
04/08/15 12:20:01,C,16,615
04/08/15 15:20:01,C,18,618
04/08/15 18:20:01,C,17,617
04/08/15 21:20:01,C,13,609
05/08/15 00:20:01,C,11,102
05/08/15 03:20:01,C,10,6
05/08/15 06:20:01,C,9,597
05/08/15 09:20:01,C,10,098
05/08/15 12:20:01,C,18,118
05/08/15 15:20:01,C,20,12
05/08/15 18:20:01,C,20,12
05/08/15 21:20:01,C,15,112
06/08/15 00:20:01,C,12,606
06/08/15 03:20:01,C,10,098
06/08/15 06:20:01,C,10,098
06/08/15 09:20:01,C,11,102
06/08/15 12:20:01,C,19,62
06/08/15 15:20:01,C,20,12
06/08/15 18:20:01,C,21,121
06/08/15 21:20:01,C,15,613
07/08/15 00:20:01,C,13,107
07/08/15 03:20:01,C,12,606
07/08/15 06:20:01,C,11,603
07/08/15 09:20:01,C,12,606
07/08/15 12:20:01,C,20,12
07/08/15 15:20:01,C,21,622
07/08/15 18:20:01,C,22,622
07/08/15 21:20:01,C,16,615
08/08/15 00:20:01,C,14,11
08/08/15 03:20:01,C,12,606
08/08/15 06:20:01,C,12,105
08/08/15 09:20:01,C,12,606
08/08/15 12:20:01,C,17,116
08/08/15 15:20:01,C,12,606
08/08/15 18:20:01,C,10,098
08/08/15 21:20:01,C,10,6
09/08/15 00:20:01,C,8,091
09/08/15 03:20:01,C,7,088
09/08/15 06:20:01,C,6,586
09/08/15 09:20:01,C,8,091
09/08/15 12:20:01,C,10,098
09/08/15 15:20:01,C,11,102
09/08/15 18:20:01,C,11,102
09/08/15 21:20:01,C,9,095
10/08/15 00:20:01,C,8,091
10/08/15 03:20:01,C,6,084
10/08/15 06:20:01,C,5,079
10/08/15 09:20:01,C,5,582
10/08/15 12:20:01,C,11,102
10/08/15 15:20:01,C,13,609
10/08/15 18:20:01,C,15,112
10/08/15 21:20:01,C,12,105
11/08/15 00:20:01,C,9,597
11/08/15 03:20:01,C,7,59
11/08/15 06:20:01,C,6,586
11/08/15 09:20:01,C,7,088
11/08/15 12:20:01,C,14,611
11/08/15 15:20:01,C,16,615
11/08/15 18:20:01,C,18,118
11/08/15 21:20:01,C,13,609
12/08/15 00:20:01,C,11,603
12/08/15 03:20:01,C,10,098
12/08/15 06:20:01,C,9,597
12/08/15 09:20:01,C,10,098
12/08/15 12:20:01,C,19,62
12/08/15 15:20:01,C,20,12
12/08/15 18:20:01,C,18,618
12/08/15 21:20:01,C,14,611
13/08/15 00:20:01,C,11,603
13/08/15 03:20:01,C,12,105
13/08/15 06:20:01,C,10,6
13/08/15 09:20:01,C,12,105
13/08/15 12:20:01,C,14,11
13/08/15 15:20:01,C,15,112
13/08/15 18:20:01,C,14,11
13/08/15 21:20:01,C,11,603
14/08/15 00:20:01,C,10,098
14/08/15 03:20:01,C,9,095
14/08/15 06:20:01,C,8,091
14/08/15 09:20:01,C,8,091
14/08/15 12:20:01,C,8,593
14/08/15 15:20:01,C,10,098
14/08/15 18:20:01,C,8,593
14/08/15 21:20:01,C,7,088
15/08/15 00:20:01,C,6,586
15/08/15 03:20:01,C,6,084
15/08/15 06:20:01,C,5,582
15/08/15 09:20:01,C,6,586
15/08/15 12:20:01,C,9,597
