1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3B00000020954841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Jul 23 14:00:01 CEST 2015
Mission Sample Count:  2968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 23 14:00:01 CEST 2015
Total Mission Samples:  2968
Total Device Samples:  9752
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/07/15 14:00:01,C,22,622
23/07/15 17:00:01,C,23,623
23/07/15 20:00:01,C,20,12
23/07/15 23:00:01,C,14,11
24/07/15 02:00:01,C,11,102
24/07/15 05:00:01,C,10,6
24/07/15 08:00:01,C,10,098
24/07/15 11:00:01,C,17,116
24/07/15 14:00:01,C,22,122
24/07/15 17:00:01,C,22,122
24/07/15 20:00:01,C,17,116
24/07/15 23:00:01,C,12,606
25/07/15 02:00:01,C,11,603
25/07/15 05:00:01,C,11,102
25/07/15 08:00:01,C,11,603
25/07/15 11:00:01,C,14,611
25/07/15 14:00:01,C,18,118
25/07/15 17:00:01,C,19,62
25/07/15 20:00:01,C,16,114
25/07/15 23:00:01,C,11,102
26/07/15 02:00:01,C,10,098
26/07/15 05:00:01,C,10,098
26/07/15 08:00:01,C,10,098
26/07/15 11:00:01,C,18,118
26/07/15 14:00:01,C,23,623
26/07/15 17:00:01,C,24,623
26/07/15 20:00:01,C,19,62
26/07/15 23:00:01,C,14,611
27/07/15 02:00:01,C,12,606
27/07/15 05:00:01,C,11,603
27/07/15 08:00:01,C,11,603
27/07/15 11:00:01,C,17,617
27/07/15 14:00:01,C,23,123
27/07/15 17:00:01,C,21,121
27/07/15 20:00:01,C,17,116
27/07/15 23:00:01,C,13,107
28/07/15 02:00:01,C,12,105
28/07/15 05:00:01,C,11,102
28/07/15 08:00:01,C,10,6
28/07/15 11:00:01,C,17,116
28/07/15 14:00:01,C,23,123
28/07/15 17:00:01,C,25,623
28/07/15 20:00:01,C,19,119
28/07/15 23:00:01,C,14,611
29/07/15 02:00:01,C,12,606
