1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 68000000209A9341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Jul 28 13:59:01 CEST 2016
Mission Sample Count:  3088
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 28 13:59:01 CEST 2016
Total Mission Samples:  3088
Total Device Samples:  12840
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/07/16 13:59:01,C,23,609
28/07/16 16:59:01,C,26,609
28/07/16 19:59:01,C,19,107
28/07/16 22:59:01,C,14,101
29/07/16 01:59:01,C,11,096
29/07/16 04:59:01,C,9,593
29/07/16 07:59:01,C,9,092
29/07/16 10:59:01,C,14,602
29/07/16 13:59:01,C,23,609
29/07/16 16:59:01,C,23,609
29/07/16 19:59:01,C,18,607
29/07/16 22:59:01,C,15,103
30/07/16 01:59:01,C,12,599
30/07/16 04:59:01,C,11,597
30/07/16 07:59:01,C,10,595
30/07/16 10:59:01,C,15,603
30/07/16 13:59:01,C,23,609
30/07/16 16:59:01,C,21,609
30/07/16 19:59:01,C,18,106
30/07/16 22:59:01,C,14,101
31/07/16 01:59:01,C,12,098
31/07/16 04:59:01,C,11,096
31/07/16 07:59:01,C,9,593
31/07/16 10:59:01,C,14,602
31/07/16 13:59:01,C,23,109
31/07/16 16:59:01,C,19,107
31/07/16 19:59:01,C,13,1
31/07/16 22:59:01,C,10,595
01/08/16 01:59:01,C,9,593
01/08/16 04:59:01,C,8,591
01/08/16 07:59:01,C,8,09
01/08/16 10:59:01,C,12,098
01/08/16 13:59:01,C,21,609
01/08/16 16:59:01,C,20,108
01/08/16 19:59:01,C,17,105
01/08/16 22:59:01,C,12,599
02/08/16 01:59:01,C,10,094
