1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A7000000209CCF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Jul 28 13:59:01 CEST 2016
Mission Sample Count:  3088
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 28 13:59:01 CEST 2016
Total Mission Samples:  3088
Total Device Samples:  12841
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/07/16 13:59:01,C,20,591
28/07/16 16:59:01,C,29,092
28/07/16 19:59:01,C,24,094
28/07/16 22:59:01,C,18,088
29/07/16 01:59:01,C,14,581
29/07/16 04:59:01,C,12,074
29/07/16 07:59:01,C,11,573
29/07/16 10:59:01,C,13,579
29/07/16 13:59:01,C,22,093
29/07/16 16:59:01,C,26,594
29/07/16 19:59:01,C,22,593
29/07/16 22:59:01,C,18,088
30/07/16 01:59:01,C,15,082
30/07/16 04:59:01,C,14,08
30/07/16 07:59:01,C,13,077
30/07/16 10:59:01,C,14,581
30/07/16 13:59:01,C,23,093
30/07/16 16:59:01,C,24,094
30/07/16 19:59:01,C,21,592
30/07/16 22:59:01,C,17,587
31/07/16 01:59:01,C,15,082
31/07/16 04:59:01,C,13,579
31/07/16 07:59:01,C,11,573
31/07/16 10:59:01,C,13,579
31/07/16 13:59:01,C,21,592
31/07/16 16:59:01,C,22,093
31/07/16 19:59:01,C,16,084
31/07/16 22:59:01,C,13,077
01/08/16 01:59:01,C,11,071
01/08/16 04:59:01,C,10,068
01/08/16 07:59:01,C,9,566
01/08/16 10:59:01,C,11,071
01/08/16 13:59:01,C,20,091
01/08/16 16:59:01,C,22,593
01/08/16 19:59:01,C,19,59
01/08/16 22:59:01,C,14,581
02/08/16 01:59:01,C,11,573
02/08/16 04:59:01,C,10,068
02/08/16 07:59:01,C,9,065
02/08/16 10:59:01,C,11,573
02/08/16 13:59:01,C,22,093
02/08/16 16:59:01,C,35,581
02/08/16 19:59:01,C,23,594
02/08/16 22:59:01,C,16,084
03/08/16 01:59:01,C,14,08
03/08/16 04:59:01,C,11,573
03/08/16 07:59:01,C,11,071
03/08/16 10:59:01,C,13,579
03/08/16 13:59:01,C,23,093
03/08/16 16:59:01,C,37,078
03/08/16 19:59:01,C,23,093
03/08/16 22:59:01,C,17,587
04/08/16 01:59:01,C,14,581
04/08/16 04:59:01,C,13,077
04/08/16 07:59:01,C,12,074
04/08/16 10:59:01,C,15,082
04/08/16 13:59:01,C,23,594
04/08/16 16:59:01,C,29,092
04/08/16 19:59:01,C,21,092
04/08/16 22:59:01,C,17,086
05/08/16 01:59:01,C,14,08
05/08/16 04:59:01,C,12,074
05/08/16 07:59:01,C,11,573
05/08/16 10:59:01,C,12,576
05/08/16 13:59:01,C,21,092
05/08/16 16:59:01,C,40,068
05/08/16 19:59:01,C,23,594
05/08/16 22:59:01,C,16,084
06/08/16 01:59:01,C,11,071
06/08/16 04:59:01,C,9,065
06/08/16 07:59:01,C,7,559
06/08/16 10:59:01,C,10,57
06/08/16 13:59:01,C,20,591
06/08/16 16:59:01,C,40,068
06/08/16 19:59:01,C,21,592
06/08/16 22:59:01,C,14,08
07/08/16 01:59:01,C,10,57
07/08/16 04:59:01,C,9,065
07/08/16 07:59:01,C,7,057
07/08/16 10:59:01,C,10,57
07/08/16 13:59:01,C,21,592
07/08/16 16:59:01,C,40,567
07/08/16 19:59:01,C,21,592
07/08/16 22:59:01,C,15,082
08/08/16 01:59:01,C,11,071
08/08/16 04:59:01,C,9,065
08/08/16 07:59:01,C,8,061
08/08/16 10:59:01,C,11,071
08/08/16 13:59:01,C,22,593
08/08/16 16:59:01,C,42,559
08/08/16 19:59:01,C,25,094
08/08/16 22:59:01,C,17,587
09/08/16 01:59:01,C,14,581
09/08/16 04:59:01,C,13,077
09/08/16 07:59:01,C,12,074
09/08/16 10:59:01,C,14,581
09/08/16 13:59:01,C,17,086
09/08/16 16:59:01,C,10,068
09/08/16 19:59:01,C,8,061
09/08/16 22:59:01,C,7,559
10/08/16 01:59:01,C,7,559
10/08/16 04:59:01,C,7,057
10/08/16 07:59:01,C,5,048
10/08/16 10:59:01,C,7,057
10/08/16 13:59:01,C,16,585
10/08/16 16:59:01,C,28,093
10/08/16 19:59:01,C,17,086
10/08/16 22:59:01,C,9,566
11/08/16 01:59:01,C,6,053
11/08/16 04:59:01,C,4,546
11/08/16 07:59:01,C,4,044
11/08/16 10:59:01,C,7,057
11/08/16 13:59:01,C,17,587
11/08/16 16:59:01,C,34,085
11/08/16 19:59:01,C,18,088
11/08/16 22:59:01,C,11,071
12/08/16 01:59:01,C,9,065
12/08/16 04:59:01,C,6,555
12/08/16 07:59:01,C,6,053
12/08/16 10:59:01,C,9,065
12/08/16 13:59:01,C,19,59
12/08/16 16:59:01,C,38,075
12/08/16 19:59:01,C,21,092
12/08/16 22:59:01,C,13,579
13/08/16 01:59:01,C,10,068
13/08/16 04:59:01,C,8,563
13/08/16 07:59:01,C,7,559
13/08/16 10:59:01,C,10,57
13/08/16 13:59:01,C,21,592
13/08/16 16:59:01,C,35,083
13/08/16 19:59:01,C,23,093
13/08/16 22:59:01,C,15,082
14/08/16 01:59:01,C,11,573
14/08/16 04:59:01,C,9,566
14/08/16 07:59:01,C,9,065
14/08/16 10:59:01,C,12,074
14/08/16 13:59:01,C,19,09
14/08/16 16:59:01,C,20,591
14/08/16 19:59:01,C,17,086
14/08/16 22:59:01,C,13,077
15/08/16 01:59:01,C,12,074
15/08/16 04:59:01,C,10,57
15/08/16 07:59:01,C,9,566
15/08/16 10:59:01,C,12,576
15/08/16 13:59:01,C,18,589
15/08/16 16:59:01,C,27,093
15/08/16 19:59:01,C,16,084
15/08/16 22:59:01,C,12,576
16/08/16 01:59:01,C,11,071
16/08/16 04:59:01,C,9,566
16/08/16 07:59:01,C,8,563
16/08/16 10:59:01,C,11,071
16/08/16 13:59:01,C,18,589
16/08/16 16:59:01,C,20,091
16/08/16 19:59:01,C,14,581
16/08/16 22:59:01,C,11,071
17/08/16 01:59:01,C,9,065
17/08/16 04:59:01,C,7,559
17/08/16 07:59:01,C,7,057
17/08/16 10:59:01,C,10,57
17/08/16 13:59:01,C,17,587
17/08/16 16:59:01,C,21,092
17/08/16 19:59:01,C,14,08
17/08/16 22:59:01,C,12,074
18/08/16 01:59:01,C,10,57
18/08/16 04:59:01,C,9,566
18/08/16 07:59:01,C,9,566
18/08/16 10:59:01,C,12,074
