1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9800000056F66D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Wed Sep 06 16:59:01 CEST 2017
Mission Sample Count:  2742
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Sep 06 16:59:01 CEST 2017
Total Mission Samples:  2742
Total Device Samples:  3355
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/09/17 16:59:01,C,12,059
06/09/17 19:59:01,C,10,056
06/09/17 22:59:01,C,5,546
07/09/17 01:59:01,C,3,04
07/09/17 04:59:01,C,2,538
07/09/17 07:59:01,C,1,536
07/09/17 10:59:01,C,3,541
07/09/17 13:59:01,C,9,555
07/09/17 16:59:01,C,9,555
07/09/17 19:59:01,C,7,551
07/09/17 22:59:01,C,5,045
08/09/17 01:59:01,C,3,04
08/09/17 04:59:01,C,3,04
08/09/17 07:59:01,C,2,538
08/09/17 10:59:01,C,4,043
08/09/17 13:59:01,C,10,056
08/09/17 16:59:01,C,10,557
08/09/17 19:59:01,C,9,054
08/09/17 22:59:01,C,5,546
09/09/17 01:59:01,C,5,045
09/09/17 04:59:01,C,5,546
09/09/17 07:59:01,C,5,546
09/09/17 10:59:01,C,6,549
09/09/17 13:59:01,C,3,04
09/09/17 16:59:01,C,2,538
09/09/17 19:59:01,C,3,04
09/09/17 22:59:01,C,2,037
10/09/17 01:59:01,C,1,536
10/09/17 04:59:01,C,1,034
10/09/17 07:59:01,C,0,533
10/09/17 10:59:01,C,0,533
10/09/17 13:59:01,C,1,034
10/09/17 16:59:01,C,2,037
10/09/17 19:59:01,C,2,037
10/09/17 22:59:01,C,1,034
11/09/17 01:59:01,C,3,04
11/09/17 04:59:01,C,3,04
11/09/17 07:59:01,C,4,043
11/09/17 10:59:01,C,6,047
11/09/17 13:59:01,C,8,052
11/09/17 16:59:01,C,9,555
11/09/17 19:59:01,C,7,05
11/09/17 22:59:01,C,5,546
12/09/17 01:59:01,C,4,544
12/09/17 04:59:01,C,4,043
12/09/17 07:59:01,C,3,541
12/09/17 10:59:01,C,4,544
12/09/17 13:59:01,C,7,05
12/09/17 16:59:01,C,7,551
12/09/17 19:59:01,C,6,047
12/09/17 22:59:01,C,4,043
13/09/17 01:59:01,C,3,541
13/09/17 04:59:01,C,4,043
13/09/17 07:59:01,C,4,544
13/09/17 10:59:01,C,5,546
13/09/17 13:59:01,C,12,059
13/09/17 16:59:01,C,11,058
13/09/17 19:59:01,C,8,553
