1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2600000056F98641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Wed Sep 06 21:10:01 CEST 2017
Mission Sample Count:  2742
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Sep 06 21:10:01 CEST 2017
Total Mission Samples:  2742
Total Device Samples:  3356
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/09/17 21:10:01,C,7,096
07/09/17 00:10:01,C,4,586
07/09/17 03:10:01,C,3,08
07/09/17 06:10:01,C,2,075
07/09/17 09:10:01,C,2,075
07/09/17 12:10:01,C,11,109
07/09/17 15:10:01,C,19,627
07/09/17 18:10:01,C,19,126
07/09/17 21:10:01,C,7,096
08/09/17 00:10:01,C,4,586
08/09/17 03:10:01,C,2,578
08/09/17 06:10:01,C,2,578
08/09/17 09:10:01,C,3,08
08/09/17 12:10:01,C,11,611
08/09/17 15:10:01,C,22,63
08/09/17 18:10:01,C,21,129
08/09/17 21:10:01,C,8,1
09/09/17 00:10:01,C,6,092
09/09/17 03:10:01,C,5,59
09/09/17 06:10:01,C,6,092
09/09/17 09:10:01,C,7,096
09/09/17 12:10:01,C,6,092
09/09/17 15:10:01,C,2,578
09/09/17 18:10:01,C,6,092
09/09/17 21:10:01,C,3,582
10/09/17 00:10:01,C,2,578
10/09/17 03:10:01,C,2,075
10/09/17 06:10:01,C,1,07
10/09/17 09:10:01,C,1,573
10/09/17 12:10:01,C,2,578
10/09/17 15:10:01,C,5,088
10/09/17 18:10:01,C,4,084
10/09/17 21:10:01,C,3,08
11/09/17 00:10:01,C,3,08
11/09/17 03:10:01,C,3,08
11/09/17 06:10:01,C,4,084
11/09/17 09:10:01,C,6,092
11/09/17 12:10:01,C,12,614
11/09/17 15:10:01,C,18,125
11/09/17 18:10:01,C,13,115
11/09/17 21:10:01,C,7,598
12/09/17 00:10:01,C,5,59
12/09/17 03:10:01,C,5,088
12/09/17 06:10:01,C,4,586
12/09/17 09:10:01,C,5,088
12/09/17 12:10:01,C,9,605
12/09/17 15:10:01,C,14,618
12/09/17 18:10:01,C,14,117
12/09/17 21:10:01,C,6,092
13/09/17 00:10:01,C,4,084
13/09/17 03:10:01,C,4,586
13/09/17 06:10:01,C,4,084
13/09/17 09:10:01,C,4,586
13/09/17 12:10:01,C,12,112
13/09/17 15:10:01,C,22,13
13/09/17 18:10:01,C,19,627
13/09/17 21:10:01,C,8,1
14/09/17 00:10:01,C,6,594
14/09/17 03:10:01,C,7,096
14/09/17 06:10:01,C,7,096
14/09/17 09:10:01,C,6,594
14/09/17 12:10:01,C,10,608
14/09/17 15:10:01,C,10,608
14/09/17 18:10:01,C,6,594
14/09/17 21:10:01,C,5,088
15/09/17 00:10:01,C,5,59
15/09/17 03:10:01,C,4,084
15/09/17 06:10:01,C,3,08
15/09/17 09:10:01,C,1,573
15/09/17 12:10:01,C,2,075
15/09/17 15:10:01,C,2,578
15/09/17 18:10:01,C,2,075
15/09/17 21:10:01,C,2,578
16/09/17 00:10:01,C,2,578
16/09/17 03:10:01,C,2,578
16/09/17 06:10:01,C,2,578
16/09/17 09:10:01,C,2,075
16/09/17 12:10:01,C,2,075
16/09/17 15:10:01,C,5,088
16/09/17 18:10:01,C,1,573
16/09/17 21:10:01,C,1,573
17/09/17 00:10:01,C,1,573
17/09/17 03:10:01,C,2,075
17/09/17 06:10:01,C,2,075
17/09/17 09:10:01,C,2,075
17/09/17 12:10:01,C,2,075
17/09/17 15:10:01,C,1,573
17/09/17 18:10:01,C,3,08
17/09/17 21:10:01,C,1,573
18/09/17 00:10:01,C,1,07
18/09/17 03:10:01,C,0,568
18/09/17 06:10:01,C,0,568
18/09/17 09:10:01,C,1,07
18/09/17 12:10:01,C,1,573
18/09/17 15:10:01,C,4,586
18/09/17 18:10:01,C,3,08
18/09/17 21:10:01,C,1,07
19/09/17 00:10:01,C,-0,437
19/09/17 03:10:01,C,-0,94
19/09/17 06:10:01,C,-1,442
19/09/17 09:10:01,C,-1,442
19/09/17 12:10:01,C,2,578
19/09/17 15:10:01,C,12,614
19/09/17 18:10:01,C,4,586
19/09/17 21:10:01,C,-0,437
20/09/17 00:10:01,C,-0,437
20/09/17 03:10:01,C,-1,442
20/09/17 06:10:01,C,-1,945
20/09/17 09:10:01,C,-1,442
20/09/17 12:10:01,C,3,582
20/09/17 15:10:01,C,13,616
20/09/17 18:10:01,C,6,092
20/09/17 21:10:01,C,2,075
21/09/17 00:10:01,C,1,573
21/09/17 03:10:01,C,1,07
21/09/17 06:10:01,C,0,568
21/09/17 09:10:01,C,1,07
21/09/17 12:10:01,C,6,092
21/09/17 15:10:01,C,17,624
21/09/17 18:10:01,C,11,109
21/09/17 21:10:01,C,3,582
22/09/17 00:10:01,C,1,573
22/09/17 03:10:01,C,1,573
22/09/17 06:10:01,C,1,07
22/09/17 09:10:01,C,2,075
22/09/17 12:10:01,C,7,598
22/09/17 15:10:01,C,6,594
22/09/17 18:10:01,C,4,084
22/09/17 21:10:01,C,3,582
23/09/17 00:10:01,C,2,578
23/09/17 03:10:01,C,3,08
23/09/17 06:10:01,C,1,573
23/09/17 09:10:01,C,1,573
23/09/17 12:10:01,C,6,594
23/09/17 15:10:01,C,13,616
23/09/17 18:10:01,C,9,103
23/09/17 21:10:01,C,3,582
24/09/17 00:10:01,C,2,075
24/09/17 03:10:01,C,1,07
24/09/17 06:10:01,C,0,568
24/09/17 09:10:01,C,1,07
24/09/17 12:10:01,C,5,59
24/09/17 15:10:01,C,18,125
24/09/17 18:10:01,C,11,109
24/09/17 21:10:01,C,5,59
25/09/17 00:10:01,C,4,084
25/09/17 03:10:01,C,3,08
25/09/17 06:10:01,C,2,578
25/09/17 09:10:01,C,4,084
25/09/17 12:10:01,C,8,602
