1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: ED00000056F73441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Wed Sep 06 20:31:01 CEST 2017
Mission Sample Count:  2743
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Sep 06 20:31:01 CEST 2017
Total Mission Samples:  2743
Total Device Samples:  3357
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/09/17 20:31:01,C,9,087
06/09/17 23:31:01,C,4,072
07/09/17 02:31:01,C,3,069
07/09/17 05:31:01,C,1,563
07/09/17 08:31:01,C,1,061
07/09/17 11:31:01,C,6,58
07/09/17 14:31:01,C,10,59
07/09/17 17:31:01,C,10,089
07/09/17 20:31:01,C,7,081
07/09/17 23:31:01,C,4,574
08/09/17 02:31:01,C,2,567
08/09/17 05:31:01,C,2,567
08/09/17 08:31:01,C,2,065
08/09/17 11:31:01,C,6,58
08/09/17 14:31:01,C,11,092
08/09/17 17:31:01,C,11,593
08/09/17 20:31:01,C,8,084
08/09/17 23:31:01,C,5,075
09/09/17 02:31:01,C,4,574
09/09/17 05:31:01,C,5,577
09/09/17 08:31:01,C,5,577
09/09/17 11:31:01,C,6,078
09/09/17 14:31:01,C,0,559
09/09/17 17:31:01,C,2,065
09/09/17 20:31:01,C,2,065
09/09/17 23:31:01,C,1,061
10/09/17 02:31:01,C,0,559
10/09/17 05:31:01,C,-0,445
10/09/17 08:31:01,C,0,058
10/09/17 11:31:01,C,1,061
10/09/17 14:31:01,C,1,061
10/09/17 17:31:01,C,2,065
10/09/17 20:31:01,C,2,065
10/09/17 23:31:01,C,1,061
11/09/17 02:31:01,C,3,069
11/09/17 05:31:01,C,3,57
11/09/17 08:31:01,C,5,075
11/09/17 11:31:01,C,8,084
11/09/17 14:31:01,C,10,089
11/09/17 17:31:01,C,10,59
11/09/17 20:31:01,C,7,081
11/09/17 23:31:01,C,5,577
12/09/17 02:31:01,C,4,072
12/09/17 05:31:01,C,4,072
12/09/17 08:31:01,C,3,069
12/09/17 11:31:01,C,6,078
12/09/17 14:31:01,C,7,583
12/09/17 17:31:01,C,8,084
12/09/17 20:31:01,C,5,577
12/09/17 23:31:01,C,3,069
13/09/17 02:31:01,C,3,57
13/09/17 05:31:01,C,4,072
13/09/17 08:31:01,C,4,072
13/09/17 11:31:01,C,7,081
13/09/17 14:31:01,C,13,096
13/09/17 17:31:01,C,11,593
13/09/17 20:31:01,C,7,583
13/09/17 23:31:01,C,6,078
14/09/17 02:31:01,C,6,58
14/09/17 05:31:01,C,6,58
14/09/17 08:31:01,C,6,58
14/09/17 11:31:01,C,7,583
14/09/17 14:31:01,C,8,084
14/09/17 17:31:01,C,5,075
14/09/17 20:31:01,C,4,072
14/09/17 23:31:01,C,5,075
15/09/17 02:31:01,C,3,57
15/09/17 05:31:01,C,3,069
15/09/17 08:31:01,C,1,061
15/09/17 11:31:01,C,1,563
15/09/17 14:31:01,C,1,563
15/09/17 17:31:01,C,1,563
15/09/17 20:31:01,C,1,563
15/09/17 23:31:01,C,1,563
16/09/17 02:31:01,C,1,563
16/09/17 05:31:01,C,1,061
16/09/17 08:31:01,C,1,061
16/09/17 11:31:01,C,1,061
16/09/17 14:31:01,C,1,563
16/09/17 17:31:01,C,1,563
16/09/17 20:31:01,C,1,563
16/09/17 23:31:01,C,1,563
17/09/17 02:31:01,C,1,061
17/09/17 05:31:01,C,1,061
17/09/17 08:31:01,C,1,061
17/09/17 11:31:01,C,1,061
17/09/17 14:31:01,C,1,563
17/09/17 17:31:01,C,1,563
17/09/17 20:31:01,C,2,065
17/09/17 23:31:01,C,1,061
18/09/17 02:31:01,C,0,559
18/09/17 05:31:01,C,0,559
18/09/17 08:31:01,C,0,559
18/09/17 11:31:01,C,1,061
18/09/17 14:31:01,C,1,563
18/09/17 17:31:01,C,2,567
18/09/17 20:31:01,C,1,061
18/09/17 23:31:01,C,0,559
19/09/17 02:31:01,C,-0,947
19/09/17 05:31:01,C,-1,951
19/09/17 08:31:01,C,-2,453
19/09/17 11:31:01,C,-1,449
19/09/17 14:31:01,C,0,058
19/09/17 17:31:01,C,0,559
19/09/17 20:31:01,C,0,058
19/09/17 23:31:01,C,-0,947
20/09/17 02:31:01,C,-0,947
20/09/17 05:31:01,C,-1,951
20/09/17 08:31:01,C,-1,951
20/09/17 11:31:01,C,-0,947
20/09/17 14:31:01,C,1,061
20/09/17 17:31:01,C,2,065
20/09/17 20:31:01,C,2,065
20/09/17 23:31:01,C,1,563
21/09/17 02:31:01,C,0,559
21/09/17 05:31:01,C,0,058
21/09/17 08:31:01,C,0,058
21/09/17 11:31:01,C,1,061
21/09/17 14:31:01,C,5,577
21/09/17 17:31:01,C,6,58
21/09/17 20:31:01,C,3,57
21/09/17 23:31:01,C,1,563
22/09/17 02:31:01,C,1,061
22/09/17 05:31:01,C,0,559
22/09/17 08:31:01,C,1,061
22/09/17 11:31:01,C,4,574
22/09/17 14:31:01,C,6,078
22/09/17 17:31:01,C,2,065
22/09/17 20:31:01,C,3,57
22/09/17 23:31:01,C,2,567
23/09/17 02:31:01,C,2,567
23/09/17 05:31:01,C,2,065
23/09/17 08:31:01,C,1,061
23/09/17 11:31:01,C,3,069
23/09/17 14:31:01,C,8,084
23/09/17 17:31:01,C,8,586
23/09/17 20:31:01,C,4,072
23/09/17 23:31:01,C,3,069
24/09/17 02:31:01,C,1,563
24/09/17 05:31:01,C,1,061
24/09/17 08:31:01,C,0,559
24/09/17 11:31:01,C,2,065
24/09/17 14:31:01,C,7,583
24/09/17 17:31:01,C,8,084
24/09/17 20:31:01,C,5,577
24/09/17 23:31:01,C,4,072
25/09/17 02:31:01,C,3,069
25/09/17 05:31:01,C,2,065
25/09/17 08:31:01,C,3,069
25/09/17 11:31:01,C,7,583
25/09/17 14:31:01,C,10,59
25/09/17 17:31:01,C,7,081
25/09/17 20:31:01,C,4,072
25/09/17 23:31:01,C,3,57
26/09/17 02:31:01,C,3,57
26/09/17 05:31:01,C,1,061
26/09/17 08:31:01,C,0,058
26/09/17 11:31:01,C,0,058
26/09/17 14:31:01,C,6,078
26/09/17 17:31:01,C,7,081
26/09/17 20:31:01,C,5,577
26/09/17 23:31:01,C,2,567
27/09/17 02:31:01,C,1,563
27/09/17 05:31:01,C,0,058
27/09/17 08:31:01,C,-0,947
27/09/17 11:31:01,C,0,058
27/09/17 14:31:01,C,6,58
27/09/17 17:31:01,C,6,58
27/09/17 20:31:01,C,5,075
27/09/17 23:31:01,C,2,567
28/09/17 02:31:01,C,1,061
28/09/17 05:31:01,C,1,061
28/09/17 08:31:01,C,0,058
28/09/17 11:31:01,C,1,061
28/09/17 14:31:01,C,9,087
28/09/17 17:31:01,C,9,588
28/09/17 20:31:01,C,6,078
28/09/17 23:31:01,C,3,57
29/09/17 02:31:01,C,2,567
29/09/17 05:31:01,C,2,065
29/09/17 08:31:01,C,0,559
29/09/17 11:31:01,C,1,563
29/09/17 14:31:01,C,8,586
29/09/17 17:31:01,C,7,583
29/09/17 20:31:01,C,5,075
29/09/17 23:31:01,C,3,069
30/09/17 02:31:01,C,2,065
30/09/17 05:31:01,C,2,065
30/09/17 08:31:01,C,3,57
30/09/17 11:31:01,C,7,583
30/09/17 14:31:01,C,5,577
30/09/17 17:31:01,C,6,58
30/09/17 20:31:01,C,5,075
30/09/17 23:31:01,C,4,574
01/10/17 02:31:01,C,3,069
01/10/17 05:31:01,C,3,57
01/10/17 08:31:01,C,2,065
01/10/17 11:31:01,C,6,078
01/10/17 14:31:01,C,7,583
01/10/17 17:31:01,C,7,583
01/10/17 20:31:01,C,6,078
01/10/17 23:31:01,C,6,078
02/10/17 02:31:01,C,6,078
02/10/17 05:31:01,C,6,078
02/10/17 08:31:01,C,6,078
02/10/17 11:31:01,C,8,084
02/10/17 14:31:01,C,9,588
02/10/17 17:31:01,C,9,588
