1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2200000057009141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Sep 07 13:56:01 CEST 2017
Mission Sample Count:  2744
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Sep 07 13:56:01 CEST 2017
Total Mission Samples:  2744
Total Device Samples:  3357
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
07/09/17 13:56:01,C,20,593
07/09/17 16:56:01,C,18,091
07/09/17 19:56:01,C,11,084
07/09/17 22:56:01,C,7,077
08/09/17 01:56:01,C,5,574
08/09/17 04:56:01,C,5,074
08/09/17 07:56:01,C,4,573
08/09/17 10:56:01,C,8,58
08/09/17 13:56:01,C,21,093
08/09/17 16:56:01,C,18,591
08/09/17 19:56:01,C,11,584
08/09/17 22:56:01,C,8,079
09/09/17 01:56:01,C,8,079
09/09/17 04:56:01,C,7,077
09/09/17 07:56:01,C,7,578
09/09/17 10:56:01,C,8,58
09/09/17 13:56:01,C,5,574
09/09/17 16:56:01,C,4,071
09/09/17 19:56:01,C,4,071
09/09/17 22:56:01,C,3,069
10/09/17 01:56:01,C,2,067
10/09/17 04:56:01,C,1,065
10/09/17 07:56:01,C,0,564
10/09/17 10:56:01,C,2,067
10/09/17 13:56:01,C,7,077
10/09/17 16:56:01,C,7,077
10/09/17 19:56:01,C,4,573
10/09/17 22:56:01,C,4,071
11/09/17 01:56:01,C,5,074
11/09/17 04:56:01,C,5,074
11/09/17 07:56:01,C,5,574
11/09/17 10:56:01,C,9,081
11/09/17 13:56:01,C,18,591
11/09/17 16:56:01,C,12,586
11/09/17 19:56:01,C,10,082
11/09/17 22:56:01,C,8,079
12/09/17 01:56:01,C,6,576
12/09/17 04:56:01,C,5,574
12/09/17 07:56:01,C,5,574
12/09/17 10:56:01,C,7,578
12/09/17 13:56:01,C,17,591
12/09/17 16:56:01,C,15,089
12/09/17 19:56:01,C,9,581
12/09/17 22:56:01,C,7,077
13/09/17 01:56:01,C,5,574
