1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B600000056FB8841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Sep 07 14:00:01 CEST 2017
Mission Sample Count:  2744
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Sep 07 14:00:01 CEST 2017
Total Mission Samples:  2744
Total Device Samples:  3357
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
07/09/17 14:00:01,C,20,636
07/09/17 17:00:01,C,19,135
07/09/17 20:00:01,C,9,114
07/09/17 23:00:01,C,4,599
08/09/17 02:00:01,C,3,094
08/09/17 05:00:01,C,2,592
08/09/17 08:00:01,C,1,588
08/09/17 11:00:01,C,7,108
08/09/17 14:00:01,C,18,134
08/09/17 17:00:01,C,19,635
08/09/17 20:00:01,C,10,117
08/09/17 23:00:01,C,6,105
09/09/17 02:00:01,C,5,101
09/09/17 05:00:01,C,5,101
09/09/17 08:00:01,C,5,603
09/09/17 11:00:01,C,7,61
09/09/17 14:00:01,C,4,599
09/09/17 17:00:01,C,3,596
09/09/17 20:00:01,C,3,596
09/09/17 23:00:01,C,2,592
10/09/17 02:00:01,C,1,085
10/09/17 05:00:01,C,0,081
10/09/17 08:00:01,C,0,081
10/09/17 11:00:01,C,2,592
10/09/17 14:00:01,C,8,613
10/09/17 17:00:01,C,8,111
10/09/17 20:00:01,C,4,599
10/09/17 23:00:01,C,3,094
11/09/17 02:00:01,C,4,098
11/09/17 05:00:01,C,3,596
11/09/17 08:00:01,C,4,599
11/09/17 11:00:01,C,8,613
11/09/17 14:00:01,C,16,631
11/09/17 17:00:01,C,12,624
11/09/17 20:00:01,C,9,616
11/09/17 23:00:01,C,7,61
12/09/17 02:00:01,C,5,603
12/09/17 05:00:01,C,5,101
12/09/17 08:00:01,C,4,599
12/09/17 11:00:01,C,8,111
12/09/17 14:00:01,C,15,129
12/09/17 17:00:01,C,15,129
12/09/17 20:00:01,C,8,613
12/09/17 23:00:01,C,5,603
13/09/17 02:00:01,C,3,596
13/09/17 05:00:01,C,3,596
13/09/17 08:00:01,C,2,592
13/09/17 11:00:01,C,7,108
13/09/17 14:00:01,C,17,633
13/09/17 17:00:01,C,17,633
13/09/17 20:00:01,C,9,616
13/09/17 23:00:01,C,7,108
14/09/17 02:00:01,C,6,105
14/09/17 05:00:01,C,6,105
14/09/17 08:00:01,C,5,603
14/09/17 11:00:01,C,8,613
14/09/17 14:00:01,C,15,129
14/09/17 17:00:01,C,15,63
14/09/17 20:00:01,C,10,619
14/09/17 23:00:01,C,8,111
15/09/17 02:00:01,C,6,105
15/09/17 05:00:01,C,4,098
15/09/17 08:00:01,C,1,588
15/09/17 11:00:01,C,1,085
15/09/17 14:00:01,C,1,085
15/09/17 17:00:01,C,1,588
15/09/17 20:00:01,C,1,085
15/09/17 23:00:01,C,1,085
16/09/17 02:00:01,C,1,085
16/09/17 05:00:01,C,1,085
16/09/17 08:00:01,C,1,085
16/09/17 11:00:01,C,1,085
16/09/17 14:00:01,C,1,085
16/09/17 17:00:01,C,1,085
16/09/17 20:00:01,C,0,583
16/09/17 23:00:01,C,0,583
17/09/17 02:00:01,C,0,583
17/09/17 05:00:01,C,0,583
17/09/17 08:00:01,C,0,583
17/09/17 11:00:01,C,0,583
17/09/17 14:00:01,C,1,085
17/09/17 17:00:01,C,1,085
17/09/17 20:00:01,C,0,583
17/09/17 23:00:01,C,0,583
18/09/17 02:00:01,C,0,583
18/09/17 05:00:01,C,0,583
18/09/17 08:00:01,C,0,583
18/09/17 11:00:01,C,0,583
18/09/17 14:00:01,C,1,588
18/09/17 17:00:01,C,1,588
18/09/17 20:00:01,C,1,085
18/09/17 23:00:01,C,0,081
19/09/17 02:00:01,C,-0,924
19/09/17 05:00:01,C,-1,928
19/09/17 08:00:01,C,-1,928
19/09/17 11:00:01,C,-0,924
19/09/17 14:00:01,C,3,596
19/09/17 17:00:01,C,4,098
19/09/17 20:00:01,C,-0,421
19/09/17 23:00:01,C,-1,928
20/09/17 02:00:01,C,-1,928
20/09/17 05:00:01,C,-1,928
20/09/17 08:00:01,C,-2,431
20/09/17 11:00:01,C,0,081
20/09/17 14:00:01,C,8,111
20/09/17 17:00:01,C,7,61
20/09/17 20:00:01,C,1,588
20/09/17 23:00:01,C,0,081
21/09/17 02:00:01,C,0,081
21/09/17 05:00:01,C,-0,421
21/09/17 08:00:01,C,-0,421
21/09/17 11:00:01,C,2,09
21/09/17 14:00:01,C,13,125
21/09/17 17:00:01,C,12,122
21/09/17 20:00:01,C,5,603
21/09/17 23:00:01,C,2,592
22/09/17 02:00:01,C,1,085
22/09/17 05:00:01,C,0,583
22/09/17 08:00:01,C,0,081
22/09/17 11:00:01,C,4,098
22/09/17 14:00:01,C,9,114
22/09/17 17:00:01,C,3,596
22/09/17 20:00:01,C,3,094
22/09/17 23:00:01,C,3,094
23/09/17 02:00:01,C,2,592
23/09/17 05:00:01,C,2,592
23/09/17 08:00:01,C,2,09
23/09/17 11:00:01,C,4,599
23/09/17 14:00:01,C,12,122
23/09/17 17:00:01,C,11,12
23/09/17 20:00:01,C,5,603
23/09/17 23:00:01,C,3,094
24/09/17 02:00:01,C,1,085
24/09/17 05:00:01,C,0,081
24/09/17 08:00:01,C,-0,421
24/09/17 11:00:01,C,1,588
24/09/17 14:00:01,C,12,624
24/09/17 17:00:01,C,11,621
24/09/17 20:00:01,C,5,603
24/09/17 23:00:01,C,4,098
25/09/17 02:00:01,C,2,592
25/09/17 05:00:01,C,1,588
25/09/17 08:00:01,C,1,085
25/09/17 11:00:01,C,6,105
25/09/17 14:00:01,C,9,616
25/09/17 17:00:01,C,5,101
25/09/17 20:00:01,C,4,599
25/09/17 23:00:01,C,4,098
