1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 1500000056FEEE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Sep 07 16:58:01 CEST 2017
Mission Sample Count:  2744
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Sep 07 16:58:01 CEST 2017
Total Mission Samples:  2744
Total Device Samples:  3357
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
07/09/17 16:58:01,C,24,682
07/09/17 19:58:01,C,14,163
07/09/17 22:58:01,C,9,141
08/09/17 01:58:01,C,6,628
08/09/17 04:58:01,C,5,621
08/09/17 07:58:01,C,4,112
08/09/17 10:58:01,C,6,628
08/09/17 13:58:01,C,18,675
08/09/17 16:58:01,C,24,682
08/09/17 19:58:01,C,15,166
08/09/17 22:58:01,C,10,146
09/09/17 01:58:01,C,8,639
09/09/17 04:58:01,C,7,633
09/09/17 07:58:01,C,7,633
09/09/17 10:58:01,C,8,639
09/09/17 13:58:01,C,6,125
09/09/17 16:58:01,C,4,615
09/09/17 19:58:01,C,4,615
09/09/17 22:58:01,C,3,608
10/09/17 01:58:01,C,2,601
10/09/17 04:58:01,C,1,594
10/09/17 07:58:01,C,1,09
10/09/17 10:58:01,C,2,098
10/09/17 13:58:01,C,9,141
10/09/17 16:58:01,C,8,639
10/09/17 19:58:01,C,6,125
10/09/17 22:58:01,C,4,615
11/09/17 01:58:01,C,5,118
11/09/17 04:58:01,C,5,118
11/09/17 07:58:01,C,5,621
11/09/17 10:58:01,C,8,136
11/09/17 13:58:01,C,16,671
11/09/17 16:58:01,C,13,661
11/09/17 19:58:01,C,11,151
11/09/17 22:58:01,C,9,141
12/09/17 01:58:01,C,7,13
12/09/17 04:58:01,C,6,125
12/09/17 07:58:01,C,6,125
12/09/17 10:58:01,C,7,13
12/09/17 13:58:01,C,16,169
12/09/17 16:58:01,C,19,677
12/09/17 19:58:01,C,12,657
12/09/17 22:58:01,C,8,639
13/09/17 01:58:01,C,6,628
13/09/17 04:58:01,C,6,125
13/09/17 07:58:01,C,5,118
13/09/17 10:58:01,C,7,633
13/09/17 13:58:01,C,18,675
13/09/17 16:58:01,C,23,681
13/09/17 19:58:01,C,14,665
13/09/17 22:58:01,C,11,151
14/09/17 01:58:01,C,9,644
14/09/17 04:58:01,C,8,639
14/09/17 07:58:01,C,7,633
14/09/17 10:58:01,C,9,141
14/09/17 13:58:01,C,15,166
14/09/17 16:58:01,C,18,174
14/09/17 19:58:01,C,13,159
14/09/17 22:58:01,C,10,649
15/09/17 01:58:01,C,7,633
15/09/17 04:58:01,C,5,118
15/09/17 07:58:01,C,3,608
15/09/17 10:58:01,C,3,105
15/09/17 13:58:01,C,2,601
15/09/17 16:58:01,C,2,098
15/09/17 19:58:01,C,1,594
15/09/17 22:58:01,C,1,09
16/09/17 01:58:01,C,0,586
16/09/17 04:58:01,C,0,586
16/09/17 07:58:01,C,0,082
16/09/17 10:58:01,C,0,586
16/09/17 13:58:01,C,7,13
16/09/17 16:58:01,C,6,628
16/09/17 19:58:01,C,3,608
16/09/17 22:58:01,C,1,09
17/09/17 01:58:01,C,0,082
17/09/17 04:58:01,C,0,082
17/09/17 07:58:01,C,-0,926
17/09/17 10:58:01,C,0,082
17/09/17 13:58:01,C,8,639
17/09/17 16:58:01,C,9,644
17/09/17 19:58:01,C,6,125
17/09/17 22:58:01,C,3,608
18/09/17 01:58:01,C,2,098
18/09/17 04:58:01,C,1,594
18/09/17 07:58:01,C,1,594
18/09/17 10:58:01,C,1,594
18/09/17 13:58:01,C,6,125
18/09/17 16:58:01,C,6,125
18/09/17 19:58:01,C,4,615
18/09/17 22:58:01,C,1,594
19/09/17 01:58:01,C,0,586
19/09/17 04:58:01,C,-0,926
19/09/17 07:58:01,C,-1,43
19/09/17 10:58:01,C,-0,422
19/09/17 13:58:01,C,12,155
19/09/17 16:58:01,C,13,661
19/09/17 19:58:01,C,6,125
19/09/17 22:58:01,C,2,098
20/09/17 01:58:01,C,0,586
20/09/17 04:58:01,C,-0,422
20/09/17 07:58:01,C,-0,926
20/09/17 10:58:01,C,0,586
20/09/17 13:58:01,C,12,657
20/09/17 16:58:01,C,16,671
20/09/17 19:58:01,C,9,141
20/09/17 22:58:01,C,5,118
21/09/17 01:58:01,C,4,112
21/09/17 04:58:01,C,3,105
21/09/17 07:58:01,C,2,601
21/09/17 10:58:01,C,4,112
21/09/17 13:58:01,C,15,668
21/09/17 16:58:01,C,19,176
21/09/17 19:58:01,C,11,151
21/09/17 22:58:01,C,6,628
22/09/17 01:58:01,C,5,118
22/09/17 04:58:01,C,3,608
22/09/17 07:58:01,C,3,105
22/09/17 10:58:01,C,5,118
22/09/17 13:58:01,C,9,644
22/09/17 16:58:01,C,5,621
22/09/17 19:58:01,C,5,118
22/09/17 22:58:01,C,4,615
23/09/17 01:58:01,C,4,112
23/09/17 04:58:01,C,4,112
23/09/17 07:58:01,C,4,112
23/09/17 10:58:01,C,5,621
23/09/17 13:58:01,C,15,668
23/09/17 16:58:01,C,15,166
23/09/17 19:58:01,C,10,649
23/09/17 22:58:01,C,6,125
24/09/17 01:58:01,C,4,112
24/09/17 04:58:01,C,3,105
24/09/17 07:58:01,C,2,098
24/09/17 10:58:01,C,4,112
24/09/17 13:58:01,C,15,668
24/09/17 16:58:01,C,18,675
24/09/17 19:58:01,C,10,146
24/09/17 22:58:01,C,8,136
25/09/17 01:58:01,C,6,125
25/09/17 04:58:01,C,4,615
25/09/17 07:58:01,C,4,112
25/09/17 10:58:01,C,6,628
25/09/17 13:58:01,C,10,146
25/09/17 16:58:01,C,8,639
25/09/17 19:58:01,C,6,125
25/09/17 22:58:01,C,5,621
26/09/17 01:58:01,C,5,118
26/09/17 04:58:01,C,2,601
26/09/17 07:58:01,C,1,09
26/09/17 10:58:01,C,1,594
26/09/17 13:58:01,C,12,155
26/09/17 16:58:01,C,12,155
26/09/17 19:58:01,C,9,141
26/09/17 22:58:01,C,6,628
27/09/17 01:58:01,C,5,118
27/09/17 04:58:01,C,4,112
27/09/17 07:58:01,C,2,601
27/09/17 10:58:01,C,3,608
27/09/17 13:58:01,C,14,163
27/09/17 16:58:01,C,16,169
27/09/17 19:58:01,C,10,146
27/09/17 22:58:01,C,6,125
28/09/17 01:58:01,C,4,615
28/09/17 04:58:01,C,3,608
28/09/17 07:58:01,C,3,105
28/09/17 10:58:01,C,4,112
28/09/17 13:58:01,C,15,166
28/09/17 16:58:01,C,18,675
28/09/17 19:58:01,C,12,657
28/09/17 22:58:01,C,8,136
29/09/17 01:58:01,C,6,125
29/09/17 04:58:01,C,4,615
29/09/17 07:58:01,C,3,608
29/09/17 10:58:01,C,4,615
29/09/17 13:58:01,C,16,169
29/09/17 16:58:01,C,18,675
29/09/17 19:58:01,C,11,151
29/09/17 22:58:01,C,8,136
30/09/17 01:58:01,C,5,621
30/09/17 04:58:01,C,4,615
30/09/17 07:58:01,C,4,615
30/09/17 10:58:01,C,7,13
30/09/17 13:58:01,C,8,136
30/09/17 16:58:01,C,6,125
30/09/17 19:58:01,C,6,628
30/09/17 22:58:01,C,6,125
01/10/17 01:58:01,C,5,118
01/10/17 04:58:01,C,4,615
01/10/17 07:58:01,C,3,608
01/10/17 10:58:01,C,5,621
01/10/17 13:58:01,C,10,649
01/10/17 16:58:01,C,9,644
01/10/17 19:58:01,C,8,136
01/10/17 22:58:01,C,7,13
