1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2600000056F98641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Wed Aug 15 14:00:01 CEST 2018
Mission Sample Count:  2897
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Aug 15 14:00:01 CEST 2018
Total Mission Samples:  2897
Total Device Samples:  6253
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
15/08/18 14:00:01,C,19,126
15/08/18 17:00:01,C,26,631
15/08/18 20:00:01,C,15,621
15/08/18 23:00:01,C,11,109
16/08/18 02:00:01,C,9,103
16/08/18 05:00:01,C,7,598
16/08/18 08:00:01,C,7,096
16/08/18 11:00:01,C,9,103
16/08/18 14:00:01,C,20,128
16/08/18 17:00:01,C,17,624
16/08/18 20:00:01,C,12,112
16/08/18 23:00:01,C,10,608
17/08/18 02:00:01,C,9,103
17/08/18 05:00:01,C,8,1
17/08/18 08:00:01,C,9,103
17/08/18 11:00:01,C,10,106
17/08/18 14:00:01,C,11,109
17/08/18 17:00:01,C,9,103
17/08/18 20:00:01,C,8,602
17/08/18 23:00:01,C,8,1
18/08/18 02:00:01,C,7,598
18/08/18 05:00:01,C,7,598
18/08/18 08:00:01,C,6,594
18/08/18 11:00:01,C,10,106
18/08/18 14:00:01,C,14,618
18/08/18 17:00:01,C,14,618
18/08/18 20:00:01,C,11,611
18/08/18 23:00:01,C,8,602
19/08/18 02:00:01,C,7,096
19/08/18 05:00:01,C,5,59
19/08/18 08:00:01,C,5,59
19/08/18 11:00:01,C,6,594
19/08/18 14:00:01,C,16,623
19/08/18 17:00:01,C,23,63
19/08/18 20:00:01,C,15,12
19/08/18 23:00:01,C,11,611
20/08/18 02:00:01,C,9,103
20/08/18 05:00:01,C,6,594
20/08/18 08:00:01,C,6,092
20/08/18 11:00:01,C,7,598
20/08/18 14:00:01,C,18,626
20/08/18 17:00:01,C,25,131
20/08/18 20:00:01,C,15,621
20/08/18 23:00:01,C,11,109
