1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: ED00000056F73441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Wed Aug 15 17:00:01 CEST 2018
Mission Sample Count:  2896
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Aug 15 17:00:01 CEST 2018
Total Mission Samples:  2896
Total Device Samples:  6253
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
15/08/18 17:00:01,C,14,098
15/08/18 20:00:01,C,13,597
15/08/18 23:00:01,C,11,092
16/08/18 02:00:01,C,8,586
16/08/18 05:00:01,C,7,583
16/08/18 08:00:01,C,6,58
16/08/18 11:00:01,C,9,087
16/08/18 14:00:01,C,13,096
16/08/18 17:00:01,C,13,096
16/08/18 20:00:01,C,11,593
16/08/18 23:00:01,C,10,59
17/08/18 02:00:01,C,9,087
17/08/18 05:00:01,C,8,586
17/08/18 08:00:01,C,8,586
17/08/18 11:00:01,C,9,087
17/08/18 14:00:01,C,10,089
17/08/18 17:00:01,C,8,586
17/08/18 20:00:01,C,8,084
17/08/18 23:00:01,C,7,583
18/08/18 02:00:01,C,7,081
18/08/18 05:00:01,C,7,081
18/08/18 08:00:01,C,6,58
18/08/18 11:00:01,C,8,586
18/08/18 14:00:01,C,10,59
18/08/18 17:00:01,C,11,593
18/08/18 20:00:01,C,10,59
18/08/18 23:00:01,C,8,586
19/08/18 02:00:01,C,7,583
19/08/18 05:00:01,C,6,078
19/08/18 08:00:01,C,5,577
19/08/18 11:00:01,C,7,081
19/08/18 14:00:01,C,10,59
19/08/18 17:00:01,C,12,094
19/08/18 20:00:01,C,12,094
19/08/18 23:00:01,C,10,59
20/08/18 02:00:01,C,9,087
20/08/18 05:00:01,C,6,58
20/08/18 08:00:01,C,5,577
20/08/18 11:00:01,C,7,583
20/08/18 14:00:01,C,11,593
20/08/18 17:00:01,C,13,096
20/08/18 20:00:01,C,12,595
20/08/18 23:00:01,C,10,59
21/08/18 02:00:01,C,8,084
21/08/18 05:00:01,C,6,58
21/08/18 08:00:01,C,5,577
21/08/18 11:00:01,C,7,583
21/08/18 14:00:01,C,12,094
21/08/18 17:00:01,C,13,096
21/08/18 20:00:01,C,12,094
21/08/18 23:00:01,C,10,089
22/08/18 02:00:01,C,8,084
22/08/18 05:00:01,C,7,081
22/08/18 08:00:01,C,6,58
22/08/18 11:00:01,C,8,586
22/08/18 14:00:01,C,10,59
22/08/18 17:00:01,C,12,595
22/08/18 20:00:01,C,11,092
22/08/18 23:00:01,C,9,087
23/08/18 02:00:01,C,7,583
23/08/18 05:00:01,C,6,58
23/08/18 08:00:01,C,5,577
23/08/18 11:00:01,C,7,081
23/08/18 14:00:01,C,11,092
23/08/18 17:00:01,C,12,595
23/08/18 20:00:01,C,11,593
23/08/18 23:00:01,C,10,59
24/08/18 02:00:01,C,8,084
24/08/18 05:00:01,C,7,081
24/08/18 08:00:01,C,6,58
24/08/18 11:00:01,C,7,081
24/08/18 14:00:01,C,11,092
24/08/18 17:00:01,C,12,094
24/08/18 20:00:01,C,10,59
24/08/18 23:00:01,C,9,588
25/08/18 02:00:01,C,8,586
25/08/18 05:00:01,C,7,081
25/08/18 08:00:01,C,6,58
25/08/18 11:00:01,C,8,586
25/08/18 14:00:01,C,11,092
25/08/18 17:00:01,C,11,593
25/08/18 20:00:01,C,9,588
25/08/18 23:00:01,C,8,084
26/08/18 02:00:01,C,8,084
26/08/18 05:00:01,C,7,081
26/08/18 08:00:01,C,5,577
26/08/18 11:00:01,C,6,078
26/08/18 14:00:01,C,10,089
26/08/18 17:00:01,C,11,593
26/08/18 20:00:01,C,11,593
26/08/18 23:00:01,C,9,087
27/08/18 02:00:01,C,7,583
27/08/18 05:00:01,C,6,58
27/08/18 08:00:01,C,6,078
27/08/18 11:00:01,C,7,081
27/08/18 14:00:01,C,11,593
27/08/18 17:00:01,C,13,597
27/08/18 20:00:01,C,13,597
27/08/18 23:00:01,C,11,092
28/08/18 02:00:01,C,9,588
28/08/18 05:00:01,C,8,586
28/08/18 08:00:01,C,8,084
28/08/18 11:00:01,C,8,586
28/08/18 14:00:01,C,14,098
28/08/18 17:00:01,C,16,101
28/08/18 20:00:01,C,14,598
28/08/18 23:00:01,C,11,593
29/08/18 02:00:01,C,10,089
29/08/18 05:00:01,C,9,087
29/08/18 08:00:01,C,9,087
29/08/18 11:00:01,C,10,59
29/08/18 14:00:01,C,13,597
29/08/18 17:00:01,C,14,598
29/08/18 20:00:01,C,12,094
29/08/18 23:00:01,C,11,092
30/08/18 02:00:01,C,9,588
30/08/18 05:00:01,C,8,586
30/08/18 08:00:01,C,7,081
30/08/18 11:00:01,C,8,084
30/08/18 14:00:01,C,12,094
30/08/18 17:00:01,C,14,098
30/08/18 20:00:01,C,13,096
30/08/18 23:00:01,C,11,593
31/08/18 02:00:01,C,9,588
31/08/18 05:00:01,C,8,084
31/08/18 08:00:01,C,7,081
31/08/18 11:00:01,C,7,583
31/08/18 14:00:01,C,12,595
31/08/18 17:00:01,C,12,094
31/08/18 20:00:01,C,10,59
31/08/18 23:00:01,C,9,588
01/09/18 02:00:01,C,9,087
01/09/18 05:00:01,C,7,583
01/09/18 08:00:01,C,6,58
01/09/18 11:00:01,C,8,084
01/09/18 14:00:01,C,10,59
01/09/18 17:00:01,C,11,593
01/09/18 20:00:01,C,11,092
01/09/18 23:00:01,C,8,586
02/09/18 02:00:01,C,6,58
02/09/18 05:00:01,C,6,078
02/09/18 08:00:01,C,4,574
02/09/18 11:00:01,C,4,574
02/09/18 14:00:01,C,10,089
02/09/18 17:00:01,C,12,094
02/09/18 20:00:01,C,11,092
02/09/18 23:00:01,C,9,087
03/09/18 02:00:01,C,8,586
03/09/18 05:00:01,C,7,081
03/09/18 08:00:01,C,6,078
03/09/18 11:00:01,C,7,081
03/09/18 14:00:01,C,12,094
03/09/18 17:00:01,C,13,597
03/09/18 20:00:01,C,10,089
03/09/18 23:00:01,C,9,588
04/09/18 02:00:01,C,8,586
04/09/18 05:00:01,C,7,583
04/09/18 08:00:01,C,7,081
04/09/18 11:00:01,C,7,583
04/09/18 14:00:01,C,11,593
04/09/18 17:00:01,C,12,094
04/09/18 20:00:01,C,11,092
04/09/18 23:00:01,C,9,588
05/09/18 02:00:01,C,8,084
05/09/18 05:00:01,C,7,583
05/09/18 08:00:01,C,7,583
