1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: ED00000056F73441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Aug 12 16:59:01 CEST 2019
Mission Sample Count:  140
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Aug 12 16:59:01 CEST 2019
Total Mission Samples:  140
Total Device Samples:  6393
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/08/19 16:59:01,C,9,588
12/08/19 17:09:01,C,9,588
12/08/19 17:19:01,C,9,588
12/08/19 17:29:01,C,9,087
12/08/19 17:39:01,C,9,087
12/08/19 17:49:01,C,8,586
12/08/19 17:59:01,C,9,087
12/08/19 18:09:01,C,9,087
12/08/19 18:19:01,C,8,586
12/08/19 18:29:01,C,8,586
12/08/19 18:39:01,C,8,586
12/08/19 18:49:01,C,8,586
12/08/19 18:59:01,C,8,586
12/08/19 19:09:01,C,8,586
12/08/19 19:19:01,C,8,586
12/08/19 19:29:01,C,8,586
12/08/19 19:39:01,C,8,586
12/08/19 19:49:01,C,8,586
12/08/19 19:59:01,C,8,084
12/08/19 20:09:01,C,8,084
12/08/19 20:19:01,C,7,583
12/08/19 20:29:01,C,7,583
12/08/19 20:39:01,C,7,583
12/08/19 20:49:01,C,7,583
12/08/19 20:59:01,C,7,583
12/08/19 21:09:01,C,7,583
12/08/19 21:19:01,C,7,583
12/08/19 21:29:01,C,7,583
12/08/19 21:39:01,C,7,583
12/08/19 21:49:01,C,7,583
12/08/19 21:59:01,C,7,583
12/08/19 22:09:01,C,7,081
12/08/19 22:19:01,C,7,081
12/08/19 22:29:01,C,7,081
12/08/19 22:39:01,C,7,081
12/08/19 22:49:01,C,7,081
12/08/19 22:59:01,C,7,081
12/08/19 23:09:01,C,7,081
12/08/19 23:19:01,C,7,081
12/08/19 23:29:01,C,6,58
12/08/19 23:39:01,C,7,081
12/08/19 23:49:01,C,6,58
12/08/19 23:59:01,C,6,58
13/08/19 00:09:01,C,7,081
13/08/19 00:19:01,C,7,081
13/08/19 00:29:01,C,7,081
13/08/19 00:39:01,C,7,081
13/08/19 00:49:01,C,7,081
13/08/19 00:59:01,C,6,58
13/08/19 01:09:01,C,6,58
13/08/19 01:19:01,C,6,58
13/08/19 01:29:01,C,6,58
13/08/19 01:39:01,C,6,58
13/08/19 01:49:01,C,6,58
13/08/19 01:59:01,C,6,58
13/08/19 02:09:01,C,6,58
13/08/19 02:19:01,C,6,58
13/08/19 02:29:01,C,6,58
13/08/19 02:39:01,C,6,58
13/08/19 02:49:01,C,7,081
13/08/19 02:59:01,C,6,58
13/08/19 03:09:01,C,6,58
13/08/19 03:19:01,C,6,58
13/08/19 03:29:01,C,6,58
13/08/19 03:39:01,C,6,58
13/08/19 03:49:01,C,6,58
13/08/19 03:59:01,C,6,58
13/08/19 04:09:01,C,6,58
13/08/19 04:19:01,C,6,078
13/08/19 04:29:01,C,6,078
13/08/19 04:39:01,C,6,078
13/08/19 04:49:01,C,6,078
13/08/19 04:59:01,C,5,577
13/08/19 05:09:01,C,5,577
13/08/19 05:19:01,C,5,577
