1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2200000057009141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Aug 16 14:00:01 CEST 2018
Mission Sample Count:  2904
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Aug 16 14:00:01 CEST 2018
Total Mission Samples:  2904
Total Device Samples:  6261
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/08/18 14:00:01,C,19,592
16/08/18 17:00:01,C,17,09
16/08/18 20:00:01,C,13,086
16/08/18 23:00:01,C,11,584
17/08/18 02:00:01,C,9,581
17/08/18 05:00:01,C,9,581
17/08/18 08:00:01,C,8,58
17/08/18 11:00:01,C,11,084
17/08/18 14:00:01,C,10,583
17/08/18 17:00:01,C,9,581
17/08/18 20:00:01,C,9,081
17/08/18 23:00:01,C,8,58
18/08/18 02:00:01,C,8,079
18/08/18 05:00:01,C,7,077
18/08/18 08:00:01,C,6,576
18/08/18 11:00:01,C,8,58
18/08/18 14:00:01,C,11,084
18/08/18 17:00:01,C,15,589
18/08/18 20:00:01,C,13,587
18/08/18 23:00:01,C,10,082
19/08/18 02:00:01,C,7,578
19/08/18 05:00:01,C,6,576
19/08/18 08:00:01,C,6,075
19/08/18 11:00:01,C,10,082
19/08/18 14:00:01,C,14,087
19/08/18 17:00:01,C,16,089
19/08/18 20:00:01,C,14,588
19/08/18 23:00:01,C,10,583
20/08/18 02:00:01,C,8,079
20/08/18 05:00:01,C,7,077
20/08/18 08:00:01,C,6,576
20/08/18 11:00:01,C,10,082
20/08/18 14:00:01,C,17,591
20/08/18 17:00:01,C,20,092
20/08/18 20:00:01,C,17,591
20/08/18 23:00:01,C,12,085
21/08/18 02:00:01,C,9,081
21/08/18 05:00:01,C,7,578
21/08/18 08:00:01,C,7,077
21/08/18 11:00:01,C,10,583
21/08/18 14:00:01,C,17,09
21/08/18 17:00:01,C,16,089
21/08/18 20:00:01,C,13,587
21/08/18 23:00:01,C,10,583
22/08/18 02:00:01,C,8,079
22/08/18 05:00:01,C,7,578
22/08/18 08:00:01,C,7,077
22/08/18 11:00:01,C,11,084
22/08/18 14:00:01,C,18,591
22/08/18 17:00:01,C,14,588
22/08/18 20:00:01,C,11,084
22/08/18 23:00:01,C,9,581
23/08/18 02:00:01,C,8,58
23/08/18 05:00:01,C,7,077
23/08/18 08:00:01,C,6,576
23/08/18 11:00:01,C,10,583
23/08/18 14:00:01,C,14,087
23/08/18 17:00:01,C,16,089
23/08/18 20:00:01,C,13,587
23/08/18 23:00:01,C,11,084
24/08/18 02:00:01,C,8,58
24/08/18 05:00:01,C,8,079
24/08/18 08:00:01,C,6,576
24/08/18 11:00:01,C,10,082
24/08/18 14:00:01,C,17,09
24/08/18 17:00:01,C,18,591
24/08/18 20:00:01,C,15,589
24/08/18 23:00:01,C,12,586
25/08/18 02:00:01,C,10,082
25/08/18 05:00:01,C,9,081
25/08/18 08:00:01,C,9,081
25/08/18 11:00:01,C,12,085
25/08/18 14:00:01,C,17,09
25/08/18 17:00:01,C,15,589
25/08/18 20:00:01,C,11,084
25/08/18 23:00:01,C,9,081
26/08/18 02:00:01,C,8,079
26/08/18 05:00:01,C,7,077
26/08/18 08:00:01,C,6,075
26/08/18 11:00:01,C,9,581
26/08/18 14:00:01,C,16,59
26/08/18 17:00:01,C,19,092
26/08/18 20:00:01,C,17,09
26/08/18 23:00:01,C,12,085
27/08/18 02:00:01,C,9,581
27/08/18 05:00:01,C,8,079
27/08/18 08:00:01,C,7,578
27/08/18 11:00:01,C,11,584
27/08/18 14:00:01,C,19,592
27/08/18 17:00:01,C,21,593
27/08/18 20:00:01,C,18,591
27/08/18 23:00:01,C,13,587
28/08/18 02:00:01,C,11,584
28/08/18 05:00:01,C,10,583
28/08/18 08:00:01,C,9,581
28/08/18 11:00:01,C,13,587
28/08/18 14:00:01,C,21,093
28/08/18 17:00:01,C,22,593
28/08/18 20:00:01,C,19,092
28/08/18 23:00:01,C,14,588
29/08/18 02:00:01,C,13,086
29/08/18 05:00:01,C,11,584
29/08/18 08:00:01,C,11,584
29/08/18 11:00:01,C,14,588
29/08/18 14:00:01,C,18,591
29/08/18 17:00:01,C,18,591
29/08/18 20:00:01,C,13,587
29/08/18 23:00:01,C,11,584
30/08/18 02:00:01,C,10,082
30/08/18 05:00:01,C,9,081
30/08/18 08:00:01,C,8,079
30/08/18 11:00:01,C,10,583
30/08/18 14:00:01,C,16,59
30/08/18 17:00:01,C,16,59
30/08/18 20:00:01,C,14,087
30/08/18 23:00:01,C,12,085
31/08/18 02:00:01,C,11,084
31/08/18 05:00:01,C,10,082
31/08/18 08:00:01,C,8,58
31/08/18 11:00:01,C,11,584
31/08/18 14:00:01,C,16,59
31/08/18 17:00:01,C,15,089
31/08/18 20:00:01,C,12,586
31/08/18 23:00:01,C,10,583
01/09/18 02:00:01,C,9,581
01/09/18 05:00:01,C,8,58
01/09/18 08:00:01,C,7,077
01/09/18 11:00:01,C,9,581
01/09/18 14:00:01,C,17,591
01/09/18 17:00:01,C,19,092
01/09/18 20:00:01,C,15,089
01/09/18 23:00:01,C,10,082
02/09/18 02:00:01,C,8,58
02/09/18 05:00:01,C,7,077
02/09/18 08:00:01,C,5,574
02/09/18 11:00:01,C,8,58
02/09/18 14:00:01,C,17,591
02/09/18 17:00:01,C,19,092
02/09/18 20:00:01,C,15,089
02/09/18 23:00:01,C,12,586
03/09/18 02:00:01,C,11,084
03/09/18 05:00:01,C,10,082
03/09/18 08:00:01,C,9,081
03/09/18 11:00:01,C,11,584
03/09/18 14:00:01,C,20,092
03/09/18 17:00:01,C,17,591
03/09/18 20:00:01,C,12,586
03/09/18 23:00:01,C,10,583
04/09/18 02:00:01,C,10,082
04/09/18 05:00:01,C,9,081
04/09/18 08:00:01,C,8,58
04/09/18 11:00:01,C,11,084
04/09/18 14:00:01,C,18,591
04/09/18 17:00:01,C,19,092
04/09/18 20:00:01,C,12,586
04/09/18 23:00:01,C,10,583
05/09/18 02:00:01,C,9,081
05/09/18 05:00:01,C,8,079
05/09/18 08:00:01,C,8,079
05/09/18 11:00:01,C,10,082
05/09/18 14:00:01,C,14,588
05/09/18 17:00:01,C,17,09
05/09/18 20:00:01,C,12,586
05/09/18 23:00:01,C,10,082
06/09/18 02:00:01,C,7,578
06/09/18 05:00:01,C,7,077
06/09/18 08:00:01,C,6,576
06/09/18 11:00:01,C,9,081
06/09/18 14:00:01,C,13,086
06/09/18 17:00:01,C,13,086
06/09/18 20:00:01,C,8,58
06/09/18 23:00:01,C,7,077
07/09/18 02:00:01,C,6,075
07/09/18 05:00:01,C,5,074
07/09/18 08:00:01,C,4,071
07/09/18 11:00:01,C,6,075
07/09/18 14:00:01,C,9,581
07/09/18 17:00:01,C,11,084
07/09/18 20:00:01,C,10,583
07/09/18 23:00:01,C,8,58
08/09/18 02:00:01,C,8,079
08/09/18 05:00:01,C,6,576
08/09/18 08:00:01,C,6,075
08/09/18 11:00:01,C,8,58
08/09/18 14:00:01,C,15,089
08/09/18 17:00:01,C,16,59
08/09/18 20:00:01,C,13,086
08/09/18 23:00:01,C,10,082
09/09/18 02:00:01,C,9,081
09/09/18 05:00:01,C,8,58
09/09/18 08:00:01,C,8,079
09/09/18 11:00:01,C,10,082
09/09/18 14:00:01,C,15,589
09/09/18 17:00:01,C,16,089
09/09/18 20:00:01,C,13,587
09/09/18 23:00:01,C,10,082
10/09/18 02:00:01,C,9,081
10/09/18 05:00:01,C,8,079
10/09/18 08:00:01,C,7,077
10/09/18 11:00:01,C,9,081
10/09/18 14:00:01,C,11,584
10/09/18 17:00:01,C,14,588
10/09/18 20:00:01,C,12,586
10/09/18 23:00:01,C,9,581
11/09/18 02:00:01,C,9,081
11/09/18 05:00:01,C,8,079
11/09/18 08:00:01,C,7,077
11/09/18 11:00:01,C,9,081
11/09/18 14:00:01,C,17,09
11/09/18 17:00:01,C,16,59
11/09/18 20:00:01,C,13,587
11/09/18 23:00:01,C,10,583
12/09/18 02:00:01,C,10,082
12/09/18 05:00:01,C,9,081
12/09/18 08:00:01,C,9,081
12/09/18 11:00:01,C,10,082
12/09/18 14:00:01,C,14,087
12/09/18 17:00:01,C,17,591
12/09/18 20:00:01,C,10,082
12/09/18 23:00:01,C,8,58
13/09/18 02:00:01,C,8,58
13/09/18 05:00:01,C,8,58
13/09/18 08:00:01,C,8,58
13/09/18 11:00:01,C,9,081
13/09/18 14:00:01,C,11,584
13/09/18 17:00:01,C,14,588
13/09/18 20:00:01,C,12,085
13/09/18 23:00:01,C,10,082
14/09/18 02:00:01,C,8,58
14/09/18 05:00:01,C,7,578
14/09/18 08:00:01,C,7,077
14/09/18 11:00:01,C,9,581
14/09/18 14:00:01,C,17,09
14/09/18 17:00:01,C,17,09
14/09/18 20:00:01,C,14,588
14/09/18 23:00:01,C,12,085
15/09/18 02:00:01,C,10,082
15/09/18 05:00:01,C,9,081
15/09/18 08:00:01,C,7,578
15/09/18 11:00:01,C,10,082
15/09/18 14:00:01,C,17,09
15/09/18 17:00:01,C,17,09
15/09/18 20:00:01,C,14,588
15/09/18 23:00:01,C,11,584
16/09/18 02:00:01,C,10,583
16/09/18 05:00:01,C,9,581
16/09/18 08:00:01,C,9,081
16/09/18 11:00:01,C,10,583
16/09/18 14:00:01,C,16,089
16/09/18 17:00:01,C,15,089
16/09/18 20:00:01,C,13,086
16/09/18 23:00:01,C,10,082
17/09/18 02:00:01,C,8,079
17/09/18 05:00:01,C,7,077
17/09/18 08:00:01,C,7,578
17/09/18 11:00:01,C,9,581
17/09/18 14:00:01,C,16,59
17/09/18 17:00:01,C,18,091
17/09/18 20:00:01,C,14,087
17/09/18 23:00:01,C,10,583
18/09/18 02:00:01,C,9,081
18/09/18 05:00:01,C,8,079
18/09/18 08:00:01,C,7,578
18/09/18 11:00:01,C,10,082
18/09/18 14:00:01,C,15,089
18/09/18 17:00:01,C,16,089
18/09/18 20:00:01,C,13,587
18/09/18 23:00:01,C,11,084
19/09/18 02:00:01,C,9,081
19/09/18 05:00:01,C,7,578
19/09/18 08:00:01,C,6,576
19/09/18 11:00:01,C,8,58
19/09/18 14:00:01,C,17,09
19/09/18 17:00:01,C,18,591
19/09/18 20:00:01,C,14,588
19/09/18 23:00:01,C,11,084
20/09/18 02:00:01,C,8,58
20/09/18 05:00:01,C,7,077
20/09/18 08:00:01,C,6,075
20/09/18 11:00:01,C,8,079
20/09/18 14:00:01,C,17,09
20/09/18 17:00:01,C,18,591
20/09/18 20:00:01,C,13,086
20/09/18 23:00:01,C,10,583
21/09/18 02:00:01,C,8,58
21/09/18 05:00:01,C,7,578
