1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B600000056FB8841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Aug 16 13:50:01 CEST 2018
Mission Sample Count:  2904
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Aug 16 13:50:01 CEST 2018
Total Mission Samples:  2904
Total Device Samples:  6261
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/08/18 13:50:01,C,17,633
16/08/18 16:50:01,C,16,131
16/08/18 19:50:01,C,12,624
16/08/18 22:50:01,C,10,619
17/08/18 01:50:01,C,9,114
17/08/18 04:50:01,C,9,114
17/08/18 07:50:01,C,8,111
17/08/18 10:50:01,C,10,117
17/08/18 13:50:01,C,10,619
17/08/18 16:50:01,C,9,114
17/08/18 19:50:01,C,8,613
17/08/18 22:50:01,C,8,111
18/08/18 01:50:01,C,7,61
18/08/18 04:50:01,C,7,108
18/08/18 07:50:01,C,6,105
18/08/18 10:50:01,C,8,613
18/08/18 13:50:01,C,11,621
18/08/18 16:50:01,C,16,131
18/08/18 19:50:01,C,13,125
18/08/18 22:50:01,C,9,114
19/08/18 01:50:01,C,7,108
19/08/18 04:50:01,C,6,105
19/08/18 07:50:01,C,5,101
19/08/18 10:50:01,C,8,111
19/08/18 13:50:01,C,12,624
19/08/18 16:50:01,C,16,131
19/08/18 19:50:01,C,13,125
19/08/18 22:50:01,C,9,114
20/08/18 01:50:01,C,7,108
20/08/18 04:50:01,C,6,105
20/08/18 07:50:01,C,5,101
20/08/18 10:50:01,C,8,111
20/08/18 13:50:01,C,15,63
20/08/18 16:50:01,C,20,136
20/08/18 19:50:01,C,15,129
20/08/18 22:50:01,C,10,619
21/08/18 01:50:01,C,8,111
21/08/18 04:50:01,C,6,607
21/08/18 07:50:01,C,5,603
21/08/18 10:50:01,C,8,111
21/08/18 13:50:01,C,15,129
21/08/18 16:50:01,C,14,127
21/08/18 19:50:01,C,12,624
21/08/18 22:50:01,C,9,114
22/08/18 01:50:01,C,7,108
22/08/18 04:50:01,C,6,105
22/08/18 07:50:01,C,5,603
22/08/18 10:50:01,C,8,613
22/08/18 13:50:01,C,16,631
22/08/18 16:50:01,C,13,125
22/08/18 19:50:01,C,11,12
22/08/18 22:50:01,C,8,613
23/08/18 01:50:01,C,7,61
23/08/18 04:50:01,C,6,607
23/08/18 07:50:01,C,5,603
23/08/18 10:50:01,C,8,613
23/08/18 13:50:01,C,12,122
23/08/18 16:50:01,C,14,628
23/08/18 19:50:01,C,12,624
23/08/18 22:50:01,C,10,117
24/08/18 01:50:01,C,7,61
24/08/18 04:50:01,C,6,607
24/08/18 07:50:01,C,5,603
24/08/18 10:50:01,C,7,61
24/08/18 13:50:01,C,15,129
24/08/18 16:50:01,C,18,134
24/08/18 19:50:01,C,14,127
24/08/18 22:50:01,C,11,621
25/08/18 01:50:01,C,9,114
25/08/18 04:50:01,C,8,111
25/08/18 07:50:01,C,7,61
25/08/18 10:50:01,C,10,619
25/08/18 13:50:01,C,16,131
25/08/18 16:50:01,C,15,129
25/08/18 19:50:01,C,11,12
25/08/18 22:50:01,C,9,114
26/08/18 01:50:01,C,8,111
26/08/18 04:50:01,C,6,607
26/08/18 07:50:01,C,5,603
26/08/18 10:50:01,C,7,61
26/08/18 13:50:01,C,14,127
26/08/18 16:50:01,C,18,634
26/08/18 19:50:01,C,14,628
26/08/18 22:50:01,C,10,117
27/08/18 01:50:01,C,8,111
27/08/18 04:50:01,C,7,108
27/08/18 07:50:01,C,6,105
27/08/18 10:50:01,C,8,613
27/08/18 13:50:01,C,16,131
27/08/18 16:50:01,C,20,136
27/08/18 19:50:01,C,15,63
27/08/18 22:50:01,C,11,621
28/08/18 01:50:01,C,9,616
28/08/18 04:50:01,C,8,613
28/08/18 07:50:01,C,7,61
28/08/18 10:50:01,C,10,117
28/08/18 13:50:01,C,17,633
28/08/18 16:50:01,C,20,636
28/08/18 19:50:01,C,16,631
28/08/18 22:50:01,C,13,125
29/08/18 01:50:01,C,11,12
29/08/18 04:50:01,C,10,117
29/08/18 07:50:01,C,9,616
29/08/18 10:50:01,C,12,624
29/08/18 13:50:01,C,16,631
29/08/18 16:50:01,C,18,134
29/08/18 19:50:01,C,13,125
29/08/18 22:50:01,C,11,12
30/08/18 01:50:01,C,9,114
30/08/18 04:50:01,C,8,111
30/08/18 07:50:01,C,7,108
30/08/18 10:50:01,C,9,114
30/08/18 13:50:01,C,14,628
30/08/18 16:50:01,C,15,129
30/08/18 19:50:01,C,13,125
30/08/18 22:50:01,C,11,621
31/08/18 01:50:01,C,10,117
31/08/18 04:50:01,C,9,616
31/08/18 07:50:01,C,8,111
31/08/18 10:50:01,C,10,117
31/08/18 13:50:01,C,14,628
31/08/18 16:50:01,C,14,127
31/08/18 19:50:01,C,11,621
31/08/18 22:50:01,C,10,117
01/09/18 01:50:01,C,9,114
01/09/18 04:50:01,C,8,111
01/09/18 07:50:01,C,6,607
01/09/18 10:50:01,C,8,111
01/09/18 13:50:01,C,15,129
01/09/18 16:50:01,C,18,134
01/09/18 19:50:01,C,12,624
01/09/18 22:50:01,C,9,114
02/09/18 01:50:01,C,7,108
02/09/18 04:50:01,C,5,603
02/09/18 07:50:01,C,4,098
02/09/18 10:50:01,C,6,105
02/09/18 13:50:01,C,14,127
02/09/18 16:50:01,C,17,132
02/09/18 19:50:01,C,12,624
02/09/18 22:50:01,C,10,619
03/09/18 01:50:01,C,9,616
03/09/18 04:50:01,C,8,613
03/09/18 07:50:01,C,7,61
03/09/18 10:50:01,C,8,613
03/09/18 13:50:01,C,16,131
