1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 1500000056FEEE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Aug 16 17:00:01 CEST 2018
Mission Sample Count:  2903
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Aug 16 17:00:01 CEST 2018
Total Mission Samples:  2903
Total Device Samples:  6260
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/08/18 17:00:01,C,17,673
16/08/18 20:00:01,C,14,163
16/08/18 23:00:01,C,11,653
17/08/18 02:00:01,C,10,146
17/08/18 05:00:01,C,9,644
17/08/18 08:00:01,C,9,141
17/08/18 11:00:01,C,10,649
17/08/18 14:00:01,C,11,151
17/08/18 17:00:01,C,10,146
17/08/18 20:00:01,C,9,644
17/08/18 23:00:01,C,8,639
18/08/18 02:00:01,C,8,639
18/08/18 05:00:01,C,7,633
18/08/18 08:00:01,C,6,628
18/08/18 11:00:01,C,8,639
18/08/18 14:00:01,C,12,155
18/08/18 17:00:01,C,19,677
18/08/18 20:00:01,C,15,668
18/08/18 23:00:01,C,11,151
19/08/18 02:00:01,C,8,639
19/08/18 05:00:01,C,7,13
19/08/18 08:00:01,C,6,125
19/08/18 11:00:01,C,7,633
19/08/18 14:00:01,C,13,159
19/08/18 17:00:01,C,19,677
19/08/18 20:00:01,C,16,169
19/08/18 23:00:01,C,11,151
20/08/18 02:00:01,C,8,639
20/08/18 05:00:01,C,7,13
20/08/18 08:00:01,C,6,628
20/08/18 11:00:01,C,7,633
20/08/18 14:00:01,C,17,673
20/08/18 17:00:01,C,26,681
20/08/18 20:00:01,C,20,679
20/08/18 23:00:01,C,14,163
21/08/18 02:00:01,C,10,649
21/08/18 05:00:01,C,8,639
21/08/18 08:00:01,C,7,633
21/08/18 11:00:01,C,8,639
21/08/18 14:00:01,C,16,671
21/08/18 17:00:01,C,16,671
21/08/18 20:00:01,C,14,163
