"","V1","V2","V3"
"arb_1",0.222222222222222,0.679,1
"cat_1",0.268292682926829,0.368,1
"cat_2",0.404255319148936,0.008,0.136
"cat_3",0.50253807106599,0.001,0.018
"cre_2",0.1,1,1
"cre_3",0.239130434782609,0.563,1
"pdlc_1",0.266666666666667,0.366,1
"pdlc_2",0.284023668639053,0.264,1
"pdlc_3",0.264214046822742,0.396,1
"pla_1",0.37410071942446,0.031,0.496
"pla_2",0.330798479087452,0.102,1
"pla_3",0.340659340659341,0.078,1
"rat_1",0.13015873015873,0.994,1
"rat_2",0.118343195266272,0.997,1
"rat_3",0.18562874251497,0.859,1
"ull_1",0.184210526315789,0.874,1
"ull_2",0.300411522633745,0.172,1
"ull_3",0.133514986376022,0.993,1
